iShares Core S&P Total U.S. Stock Market ETF
Inception Date,"Jan 20, 2004"
Fund Holdings as of,"18-May-2015"
Total Net Assets,"$2,314,521,157"
Shares Outstanding,"23,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","3.5642","Equity","Information Technology","$82,537,856","633,980","130.19","NASDAQ","82,537,856.20"
"MSFT","US5949181045","2588173","MICROSOFT CORP","1.8513","Equity","Information Technology","$42,872,258","892,986","48.01","NASDAQ","42,872,257.86"
"XOM","US30231G1022","2326618","EXXON MOBIL CORP","1.7124","Equity","Energy","$39,655,363","456,596","86.85","New York Stock Exchange Inc.","39,655,362.60"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","1.3517","Equity","Health Care","$31,301,718","302,666","103.42","New York Stock Exchange Inc.","31,301,717.72"
"GE","US3696041033","2380498","GENERAL ELECTRIC","1.2921","Equity","Industrials","$29,921,109","1,095,610","27.31","New York Stock Exchange Inc.","29,921,109.10"
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","1.2501","Equity","Financials","$28,949,005","198,512","145.83","New York Stock Exchange Inc.","28,949,004.96"
"WFC","US9497461015","2649100","WELLS FARGO","1.2287","Equity","Financials","$28,453,239","510,372","55.75","New York Stock Exchange Inc.","28,453,239.00"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","1.1639","Equity","Financials","$26,953,302","405,801","66.42","New York Stock Exchange Inc.","26,953,302.42"
"PG","US7427181091","2704407","PROCTER & GAMBLE","1.0247","Equity","Consumer Staples","$23,730,213","293,909","80.74","New York Stock Exchange Inc.","23,730,212.66"
"PFE","US7170811035","2684703","PFIZER INC","0.9790","Equity","Health Care","$22,670,573","667,174","33.98","New York Stock Exchange Inc.","22,670,572.52"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","0.9686","Equity","Telecommunications","$22,430,955","452,237","49.60","New York Stock Exchange Inc.","22,430,955.20"
"CVX","US1667641005","2838555","CHEVRON CORP","0.9426","Equity","Energy","$21,828,375","204,673","106.65","New York Stock Exchange Inc.","21,828,375.45"
"T","US00206R1023","2831811","AT&T INC","0.8504","Equity","Telecommunications","$19,692,344","564,736","34.87","New York Stock Exchange Inc.","19,692,344.32"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","0.8160","Equity","Financials","$18,896,025","1,144,520","16.51","New York Stock Exchange Inc.","18,896,025.20"
"DIS","US2546871060","2270726","WALT DISNEY","0.8106","Equity","Consumer Discretionary","$18,770,884","170,134","110.33","New York Stock Exchange Inc.","18,770,884.22"
"MRK","US58933Y1055","2778844","MERCK & CO INC","0.8005","Equity","Health Care","$18,537,629","308,909","60.01","New York Stock Exchange Inc.","18,537,629.09"
