iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$4,512,359,089"
Shares Outstanding,"60,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"KRC","KILROY REALTY CORP.","US49427F1084","2495529","0.7600","Financials","Equity","$34,258,166","478,466","71.60","New York Stock Exchange Inc.","34,258,165.60"
"AIV","APARTMENT INVESTMENT & MANAGEMENT","US03748R1014","2057059","0.7349","Financials","Equity","$33,127,799","849,213","39.01","New York Stock Exchange Inc.","33,127,799.13"
"MAA","MID-AMERICA APARTMENT COMMUNITIES","US59522J1034","2589132","0.7239","Financials","Equity","$32,632,368","409,440","79.70","New York Stock Exchange Inc.","32,632,368.00"
"REG","REGENCY CENTERS REIT CORP","US7588491032","2726177","0.7201","Financials","Equity","$32,458,402","512,609","63.32","New York Stock Exchange Inc.","32,458,401.88"
"WPC","W. P. CAREY REIT INC","US92936U1097","B826YT8","0.7022","Financials","Equity","$31,650,697","527,248","60.03","New York Stock Exchange Inc.","31,650,697.44"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","US6819361006","2043274","0.7021","Financials","Equity","$31,647,261","873,751","36.22","New York Stock Exchange Inc.","31,647,261.22"
"IRM","IRON MOUNTAIN INC","US46284V1017","BVFTF03","0.6734","Financials","Equity","$30,353,257","1,018,224","29.81","New York Stock Exchange Inc.","30,353,257.44"
"STWD","STARWOOD PROPERTY TRUST REIT INC","US85571B1052","B3PQ520","0.6267","Financials","Equity","$28,251,014","1,284,137","22.00","New York Stock Exchange Inc.","28,251,014.00"
"LPT","LIBERTY PROPERTY REIT TRUST","US5311721048","2513681","0.6002","Financials","Equity","$27,055,082","812,221","33.31","New York Stock Exchange Inc.","27,055,081.51"
"LAMR","LAMAR ADVERTISING COMPANY ORD CLAS","US5128161099","BSPHGN6","0.5936","Financials","Equity","$26,758,970","439,753","60.85","NASDAQ","26,758,970.05"
