iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$4,390,227,861"
Shares Outstanding,"58,300,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","7.0043","Equity","Financials","$311,952,550","1,662,417","187.65","New York Stock Exchange Inc.","311,952,550.05"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","4.8178","Equity","Financials","$214,571,618","2,259,838","94.95","New York Stock Exchange Inc.","214,571,618.10"
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","3.4252","Equity","Financials","$152,548,748","776,211","196.53","New York Stock Exchange Inc.","152,548,747.83"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","3.3542","Equity","Financials","$149,385,506","1,785,413","83.67","New York Stock Exchange Inc.","149,385,505.71"
"EQR","US29476L1070","2319157","EQUITY RESIDENTIAL REIT","3.2691","Equity","Financials","$145,598,376","1,945,462","74.84","New York Stock Exchange Inc.","145,598,376.08"
"HCN","US42217K1060","2440961","HEALTH CARE REIT INC","3.0278","Equity","Financials","$134,849,216","1,868,753","72.16","New York Stock Exchange Inc.","134,849,216.48"
"VTR","US92276F1003","2927925","VENTAS REIT INC","2.7733","Equity","Financials","$123,514,675","1,786,960","69.12","New York Stock Exchange Inc.","123,514,675.20"
"AVB","US0534841012","2131179","AVALONBAY COMMUNITIES REIT INC","2.6714","Equity","Financials","$118,978,845","706,064","168.51","New York Stock Exchange Inc.","118,978,844.64"
"PLD","US74340W1036","B44WZD7","PROLOGIS REIT INC","2.5057","Equity","Financials","$111,597,583","2,738,591","40.75","New York Stock Exchange Inc.","111,597,583.25"
"BXP","US1011211018","2019479","BOSTON PROPERTIES REIT INC","2.4522","Equity","Financials","$109,213,670","819,123","133.33","New York Stock Exchange Inc.","109,213,669.59"
"HCP","US40414L1098","2417578","HCP REIT INC","2.2029","Equity","Financials","$98,111,184","2,463,867","39.82","New York Stock Exchange Inc.","98,111,183.94"
"VNO","US9290421091","2933632","VORNADO REALTY TRUST REIT","2.1587","Equity","Financials","$96,142,680","934,422","102.89","New York Stock Exchange Inc.","96,142,679.58"
"GGP","US3700231034","B56VLR5","GENERAL GROWTH PROPERTIES REIT INC","2.0896","Equity","Financials","$93,062,859","3,359,670","27.70","New York Stock Exchange Inc.","93,062,859.00"
"WY","US9621661043","2958936","WEYERHAEUSER REIT","2.0503","Equity","Financials","$91,316,947","2,807,161","32.53","New York Stock Exchange Inc.","91,316,947.33"
"HST","US44107P1049","2567503","HOST HOTELS & RESORTS REIT INC","1.8480","Equity","Financials","$82,305,225","4,050,454","20.32","New York Stock Exchange Inc.","82,305,225.28"
"ESS","US2971781057","2316619","ESSEX PROPERTY TRUST REIT INC","1.7779","Equity","Financials","$79,184,828","348,157","227.44","New York Stock Exchange Inc.","79,184,828.08"
"SLG","US78440X1019","2096847","SL GREEN REALTY REIT CORP","1.4566","Equity","Financials","$64,872,522","527,376","123.01","New York Stock Exchange Inc.","64,872,521.76"
"MAC","US5543821012","2543967","MACERICH REIT","1.3869","Equity","Financials","$61,769,821","752,648","82.07","New York Stock Exchange Inc.","61,769,821.36"
"O","US7561091049","2724193","REALTY INCOME REIT CORP","1.2791","Equity","Financials","$56,969,484","1,203,157","47.35","New York Stock Exchange Inc.","56,969,483.95"
"CBG","US12504L1098","B6WVMH3","CBRE GROUP INC","1.2609","Equity","Financials","$56,157,377","1,495,536","37.55","New York Stock Exchange Inc.","56,157,376.80"
"KIM","US49446R1095","2491594","KIMCO REALTY REIT CORP","1.2158","Equity","Financials","$54,150,451","2,205,721","24.55","New York Stock Exchange Inc.","54,150,450.55"
"NLY","US0357104092","2113456","ANNALY CAPITAL MANAGEMENT REIT INC","1.1488","Equity","Financials","$51,166,327","5,065,973","10.10","New York Stock Exchange Inc.","51,166,327.30"
"FRT","US3137472060","2333931","FEDERAL REALTY INVESTMENT TRUST RE","1.1046","Equity","Financials","$49,196,516","367,056","134.03","New York Stock Exchange Inc.","49,196,515.68"
"DLR","US2538681030","B03GQS4","DIGITAL REALTY TRUST REIT INC TRUS","1.0701","Equity","Financials","$47,657,676","724,501","65.78","New York Stock Exchange Inc.","47,657,675.78"
"UDR","US9026531049","2727910","UDR INC.","1.0421","Equity","Financials","$46,412,969","1,383,397","33.55","New York Stock Exchange Inc.","46,412,969.35"
"ARCP","US02917T1043","B4KS9Q0","AMERICAN REALTY CAPITAL PROPERTIES","0.9885","Equity","Financials","$44,024,401","4,853,848","9.07","NASDAQ","44,024,401.36"
"EXR","US30225T1025","B02HWR9","EXTRA SPACE STORAGE INC.","0.9092","Equity","Financials","$40,492,767","591,049","68.51","New York Stock Exchange Inc.","40,492,766.99"
"PCL","US7292511083","2692397","PLUM CREEK TIMBER COMPANY REIT INC","0.9074","Equity","Financials","$40,412,165","941,131","42.94","New York Stock Exchange Inc.","40,412,165.14"
"JLL","US48020Q1076","2040640","JONES LANG LASALLE INC.","0.8882","Equity","Financials","$39,559,446","239,609","165.10","New York Stock Exchange Inc.","39,559,445.90"
"AGNC","US02503X1054","B2R8TC5","AMERICAN CAPITAL AGENCY REIT CORP","0.8736","Equity","Financials","$38,906,096","1,885,899","20.63","NASDAQ","38,906,096.37"
"DRE","US2644115055","2284084","DUKE REALTY REIT CORP","0.8304","Equity","Financials","$36,985,518","1,842,826","20.07","New York Stock Exchange Inc.","36,985,517.82"
"RLGY","US75605Y1064","B5T0CW1","REALOGY HOLDINGS CORP.","0.8212","Equity","Financials","$36,575,873","782,539","46.74","New York Stock Exchange Inc.","36,575,872.86"
