iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$4,319,371,019"
Shares Outstanding,"57,250,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","6.9703","Equity","Financials","$301,865,618","1,636,749","184.43","New York Stock Exchange Inc.","301,865,618.07"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","4.8088","Equity","Financials","$208,255,694","2,224,954","93.60","New York Stock Exchange Inc.","208,255,694.40"
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","3.4621","Equity","Financials","$149,932,910","764,223","196.19","New York Stock Exchange Inc.","149,932,910.37"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","3.3670","Equity","Financials","$145,814,072","1,757,855","82.95","New York Stock Exchange Inc.","145,814,072.25"
"EQR","US29476L1070","2319157","EQUITY RESIDENTIAL REIT","3.2646","Equity","Financials","$141,378,700","1,915,441","73.81","New York Stock Exchange Inc.","141,378,700.21"
"HCN","US42217K1060","2440961","HEALTH CARE REIT INC","3.0134","Equity","Financials","$130,504,036","1,839,899","70.93","New York Stock Exchange Inc.","130,504,036.07"
"VTR","US92276F1003","2927925","VENTAS REIT INC","2.7616","Equity","Financials","$119,597,084","1,756,972","68.07","New York Stock Exchange Inc.","119,597,084.04"
"AVB","US0534841012","2131179","AVALONBAY COMMUNITIES REIT INC","2.6526","Equity","Financials","$114,874,529","695,156","165.25","New York Stock Exchange Inc.","114,874,529.00"
"PLD","US74340W1036","B44WZD7","PROLOGIS REIT INC","2.5122","Equity","Financials","$108,796,068","2,696,309","40.35","New York Stock Exchange Inc.","108,796,068.15"
"BXP","US1011211018","2019479","BOSTON PROPERTIES REIT INC","2.4464","Equity","Financials","$105,945,438","806,466","131.37","New York Stock Exchange Inc.","105,945,438.42"
"HCP","US40414L1098","2417578","HCP REIT INC","2.1986","Equity","Financials","$95,213,945","2,425,833","39.25","New York Stock Exchange Inc.","95,213,945.25"
"VNO","US9290421091","2933632","VORNADO REALTY TRUST REIT","2.1446","Equity","Financials","$92,874,404","920,004","100.95","New York Stock Exchange Inc.","92,874,403.80"
"GGP","US3700231034","B56VLR5","GENERAL GROWTH PROPERTIES REIT INC","2.0913","Equity","Financials","$90,567,893","3,307,812","27.38","New York Stock Exchange Inc.","90,567,892.56"
"WY","US9621661043","2958936","WEYERHAEUSER REIT","2.0390","Equity","Financials","$88,303,953","2,763,817","31.95","New York Stock Exchange Inc.","88,303,953.15"
"HST","US44107P1049","2567503","HOST HOTELS & RESORTS REIT INC","1.8518","Equity","Financials","$80,197,111","3,987,922","20.11","New York Stock Exchange Inc.","80,197,111.42"
"ESS","US2971781057","2316619","ESSEX PROPERTY TRUST REIT INC","1.7596","Equity","Financials","$76,205,738","342,775","222.32","New York Stock Exchange Inc.","76,205,738.00"
"SLG","US78440X1019","2096847","SL GREEN REALTY REIT CORP","1.4571","Equity","Financials","$63,103,237","519,240","121.53","New York Stock Exchange Inc.","63,103,237.20"
"MAC","US5543821012","2543967","MACERICH REIT","1.3997","Equity","Financials","$60,617,154","741,041","81.80","New York Stock Exchange Inc.","60,617,153.80"
"O","US7561091049","2724193","REALTY INCOME REIT CORP","1.2823","Equity","Financials","$55,533,157","1,184,581","46.88","New York Stock Exchange Inc.","55,533,157.28"
"CBG","US12504L1098","B6WVMH3","CBRE GROUP INC","1.2774","Equity","Financials","$55,319,646","1,472,442","37.57","New York Stock Exchange Inc.","55,319,645.94"
"KIM","US49446R1095","2491594","KIMCO REALTY REIT CORP","1.2100","Equity","Financials","$52,402,276","2,171,665","24.13","New York Stock Exchange Inc.","52,402,276.45"
"NLY","US0357104092","2113456","ANNALY CAPITAL MANAGEMENT REIT INC","1.1632","Equity","Financials","$50,376,406","4,987,763","10.10","New York Stock Exchange Inc.","50,376,406.30"
"FRT","US3137472060","2333931","FEDERAL REALTY INVESTMENT TRUST RE","1.1103","Equity","Financials","$48,082,407","361,386","133.05","New York Stock Exchange Inc.","48,082,407.30"
"DLR","US2538681030","B03GQS4","DIGITAL REALTY TRUST REIT INC TRUS","1.0627","Equity","Financials","$46,023,600","713,323","64.52","New York Stock Exchange Inc.","46,023,599.96"
"UDR","US9026531049","2727910","UDR INC.","1.0394","Equity","Financials","$45,015,719","1,362,049","33.05","New York Stock Exchange Inc.","45,015,719.45"
"ARCP","US02917T1043","B4KS9Q0","AMERICAN REALTY CAPITAL PROPERTIES","1.0064","Equity","Financials","$43,583,696","4,778,914","9.12","NASDAQ","43,583,695.68"
"EXR","US30225T1025","B02HWR9","EXTRA SPACE STORAGE INC.","0.9260","Equity","Financials","$40,100,314","581,923","68.91","New York Stock Exchange Inc.","40,100,313.93"
"PCL","US7292511083","2692397","PLUM CREEK TIMBER COMPANY REIT INC","0.8995","Equity","Financials","$38,954,474","926,605","42.04","New York Stock Exchange Inc.","38,954,474.20"
"AGNC","US02503X1054","B2R8TC5","AMERICAN CAPITAL AGENCY REIT CORP","0.8832","Equity","Financials","$38,249,936","1,856,793","20.60","NASDAQ","38,249,935.80"
"JLL","US48020Q1076","2040640","JONES LANG LASALLE INC.","0.8776","Equity","Financials","$38,007,034","235,922","161.10","New York Stock Exchange Inc.","38,007,034.20"
"DRE","US2644115055","2284084","DUKE REALTY REIT CORP","0.8182","Equity","Financials","$35,434,959","1,814,386","19.53","New York Stock Exchange Inc.","35,434,958.58"
"IRM","US46284V1017","BVFTF03","IRON MOUNTAIN INC","0.8152","Equity","Financials","$35,303,767","983,940","35.88","New York Stock Exchange Inc.","35,303,767.20"
"ARE","US0152711091","2009210","ALEXANDRIA REAL ESTATE EQUITIES IN","0.8110","Equity","Financials","$35,122,418","379,128","92.64","New York Stock Exchange Inc.","35,122,417.92"
"RLGY","US75605Y1064","B5T0CW1","REALOGY HOLDINGS CORP.","0.8048","Equity","Financials","$34,855,656","770,461","45.24","New York Stock Exchange Inc.","34,855,655.64"
"CPT","US1331311027","2166320","CAMDEN PROPERTY TRUST REIT","0.7896","Equity","Financials","$34,197,070","456,326","74.94","New York Stock Exchange Inc.","34,197,070.44"
"WPC","US92936U1097","B826YT8","W. P. CAREY REIT INC","0.7470","Equity","Financials","$32,350,184","509,131","63.54","New York Stock Exchange Inc.","32,350,183.74"
"REG","US7588491032","2726177","REGENCY CENTERS REIT CORP","0.7370","Equity","Financials","$31,915,723","495,355","64.43","New York Stock Exchange Inc.","31,915,722.65"
"KRC","US49427F1084","2495529","KILROY REALTY CORP.","0.7298","Equity","Financials","$31,603,819","454,535","69.53","New York Stock Exchange Inc.","31,603,818.55"
"AIV","US03748R1014","2057059","APARTMENT INVESTMENT & MANAGEMENT","0.7237","Equity","Financials","$31,342,998","822,435","38.11","New York Stock Exchange Inc.","31,342,997.85"
"MAA","US59522J1034","2589132","MID-AMERICA APARTMENT COMMUNITIES","0.6922","Equity","Financials","$29,975,632","396,241","75.65","New York Stock Exchange Inc.","29,975,631.65"
"STWD","US85571B1052","B3PQ520","STARWOOD PROPERTY TRUST REIT INC","0.6872","Equity","Financials","$29,762,431","1,245,290","23.90","New York Stock Exchange Inc.","29,762,431.00"
"OHI","US6819361006","2043274","OMEGA HEALTHCARE INVESTORS REIT IN","0.6858","Equity","Financials","$29,699,261","830,981","35.74","New York Stock Exchange Inc.","29,699,260.94"
"HHC","US44267D1072","B5VR4H9","HOWARD HUGHES CORP.","0.6455","Equity","Financials","$27,954,560","189,870","147.23","New York Stock Exchange Inc.","27,954,560.10"
"NRF","US66704R7044","BNLYWH2","NORTHSTAR REALTY FINANCE REIT CORP","0.6328","Equity","Financials","$27,406,870","1,444,748","18.97","New York Stock Exchange Inc.","27,406,869.56"
