iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"UNH","UNITEDHEALTH GROUP INC","US91324P1021","2917766","0.6347","Health Care","Equity","$446,247,321","3,601,092","123.92","New York Stock Exchange Inc.","446,247,320.64"
"WMT","WALMART STORES INC","US9311421039","2936921","0.6242","Consumer Staples","Equity","$438,847,496","5,969,902","73.51","New York Stock Exchange Inc.","438,847,496.02"
"MDT","MEDTRONIC PLC","IE00BTN1Y115","BTN1Y11","0.6032","Health Care","Equity","$424,116,893","5,391,088","78.67","New York Stock Exchange Inc.","424,116,892.96"
"MO","ALTRIA GROUP INC","US02209S1033","2692632","0.5869","Consumer Staples","Equity","$412,673,170","7,439,574","55.47","New York Stock Exchange Inc.","412,673,169.78"
"BMY","BRISTOL MYERS SQUIBB","US1101221083","2126335","0.5836","Health Care","Equity","$410,284,300","6,306,245","65.06","New York Stock Exchange Inc.","410,284,299.70"
"CELG","CELGENE CORP","US1510201049","2182348","0.5664","Health Care","Equity","$398,226,360","3,000,500","132.72","NASDAQ","398,226,360.00"
"SLB","SCHLUMBERGER NV","AN8068571086","2779201","0.5636","Energy","Equity","$396,283,388","4,803,435","82.50","New York Stock Exchange Inc.","396,283,387.50"
"QCOM","QUALCOMM INC","US7475251036","2714923","0.5601","Information Technology","Equity","$393,802,377","6,164,721","63.88","NASDAQ","393,802,377.48"
"MMM","3M CO","US88579Y1010","2595708","0.5154","Industrials","Equity","$362,385,794","2,399,747","151.01","New York Stock Exchange Inc.","362,385,794.47"
"MCD","MCDONALDS CORP","US5801351017","2550707","0.5147","Consumer Discretionary","Equity","$361,885,279","3,626,105","99.80","New York Stock Exchange Inc.","361,885,279.00"
"MA","MASTERCARD INC CLASS A","US57636Q1040","B121557","0.5125","Information Technology","Equity","$360,309,903","3,666,530","98.27","New York Stock Exchange Inc.","360,309,903.10"
"BA","BOEING","US0970231058","2108601","0.5016","Industrials","Equity","$352,652,189","2,432,923","144.95","New York Stock Exchange Inc.","352,652,188.85"
"SBUX","STARBUCKS CORP","US8552441094","2842255","0.4764","Consumer Discretionary","Equity","$334,967,492","5,676,453","59.01","NASDAQ","334,967,491.53"
"WBA","WALGREEN BOOTS ALLIANCE","US9314271084","BTN1Y44","0.4539","Consumer Staples","Equity","$319,150,445","3,301,101","96.68","NASDAQ","319,150,444.68"
"AIG","AMERICAN INTERNATIONAL GROUP INC","US0268747849","2027342","0.4517","Financials","Equity","$317,588,372","5,044,288","62.96","New York Stock Exchange Inc.","317,588,372.48"
"UNP","UNION PACIFIC CORP","US9078181081","2914734","0.4479","Industrials","Equity","$314,909,963","3,312,401","95.07","New York Stock Exchange Inc.","314,909,963.07"
"LLY","ELI LILLY","US5324571083","2516152","0.4452","Health Care","Equity","$313,027,275","3,694,409","84.73","New York Stock Exchange Inc.","313,027,274.57"
"HON","HONEYWELL INTERNATIONAL INC","US4385161066","2020459","0.4447","Industrials","Equity","$312,667,082","2,957,222","105.73","New York Stock Exchange Inc.","312,667,082.06"
"GS","GOLDMAN SACHS GROUP INC","US38141G1040","2407966","0.4447","Financials","Equity","$312,648,161","1,519,923","205.70","New York Stock Exchange Inc.","312,648,161.10"
"UTX","UNITED TECHNOLOGIES CORP","US9130171096","2915500","0.4404","Industrials","Equity","$309,655,007","3,131,941","98.87","New York Stock Exchange Inc.","309,655,006.67"
"NKE","NIKE INC CLASS B","US6541061031","2640147","0.4375","Consumer Discretionary","Equity","$307,577,408","2,634,496","116.75","New York Stock Exchange Inc.","307,577,408.00"
"USB","US BANCORP","US9029733048","2736035","0.4334","Financials","Equity","$304,720,090","6,707,464","45.43","New York Stock Exchange Inc.","304,720,089.52"
"BIIB","BIOGEN INC INC","US09062X1037","2455965","0.4245","Health Care","Equity","$298,478,005","889,890","335.41","NASDAQ","298,478,004.90"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","US6092071058","B8CKK03","0.4051","Consumer Staples","Equity","$284,849,357","6,153,583","46.29","NASDAQ","284,849,357.07"
"ABT","ABBOTT LABORATORIES","US0028241000","2002305","0.4044","Health Care","Equity","$284,304,370","5,632,020","50.48","New York Stock Exchange Inc.","284,304,369.60"
"UPS","UNITED PARCEL SERVICE INC CLASS B","US9113121068","2517382","0.3844","Industrials","Equity","$270,245,088","2,625,268","102.94","New York Stock Exchange Inc.","270,245,087.92"
"PCLN","PRICELINE GROUP INC/THE","US7415034039","2779063","0.3768","Consumer Discretionary","Equity","$264,961,471","196,092","1,351.21","NASDAQ","264,961,471.32"
"ESRX","EXPRESS SCRIPTS HOLDING CO","US30219G1085","B7QQYV9","0.3561","Health Care","Equity","$250,374,168","2,758,944","90.75","NASDAQ","250,374,168.00"
"AXP","AMERICAN EXPRESS","US0258161092","2026082","0.3553","Financials","Equity","$249,810,663","3,304,811","75.59","New York Stock Exchange Inc.","249,810,663.49"
"TWX","TIME WARNER INC","US8873173038","B63QTN2","0.3541","Consumer Discretionary","Equity","$248,936,579","3,119,506","79.80","New York Stock Exchange Inc.","248,936,578.80"
"ACN","ACCENTURE PLC","IE00B4BNMY34","B4BNMY3","0.3521","Information Technology","Equity","$247,575,757","2,369,146","104.50","New York Stock Exchange Inc.","247,575,757.00"
"LOW","LOWES COMPANIES INC","US5486611073","2536763","0.3510","Consumer Discretionary","Equity","$246,775,037","3,528,382","69.94","New York Stock Exchange Inc.","246,775,037.08"
"COST","COSTCO WHOLESALE CORP","US22160K1051","2701271","0.3474","Consumer Staples","Equity","$244,219,755","1,662,603","146.89","NASDAQ","244,219,754.67"
"MET","METLIFE INC","US59156R1086","2573209","0.3333","Financials","Equity","$234,317,591","4,221,178","55.51","New York Stock Exchange Inc.","234,317,590.78"
"COP","CONOCOPHILLIPS","US20825C1045","2685717","0.3259","Energy","Equity","$229,109,728","4,664,286","49.12","New York Stock Exchange Inc.","229,109,728.32"
"MS","MORGAN STANLEY","US6174464486","2262314","0.3224","Financials","Equity","$226,710,237","5,813,083","39.00","New York Stock Exchange Inc.","226,710,237.00"
"F","F MOTOR","US3453708600","2615468","0.3166","Consumer Discretionary","Equity","$222,575,957","15,038,916","14.80","New York Stock Exchange Inc.","222,575,956.80"
"CL","COLGATE-PALMOLIVE","US1941621039","2209106","0.3160","Consumer Staples","Equity","$222,209,083","3,216,692","69.08","New York Stock Exchange Inc.","222,209,083.36"
