iShares Japan Large-Cap ETF
Inception Date,"Oct 23, 2001"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$83,727,483"
Shares Outstanding,"1,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"7203","JP3633400001","6900643","TOYOTA MOTOR CORP","7.5822","Equity","Consumer Discretionary","Japan","$6,325,124","91,500","69.13","Tokyo Stock Exchange","USD","JPY","119.76","6,325,124.20"
"8306","JP3902900004","6335171","MITSUBISHI UFJ FINANCIAL GROUP INC","3.9630","Equity","Financials","Japan","$3,305,939","448,500","7.37","Tokyo Stock Exchange","USD","JPY","119.76","3,305,939.13"
"8316","JP3890350006","6563024","SUMITOMO MITSUI FINANCIAL GROUP IN","2.4128","Equity","Financials","Japan","$2,012,817","45,000","44.73","Tokyo Stock Exchange","USD","JPY","119.76","2,012,816.77"
"7267","JP3854600008","6435145","HONDA MOTOR LTD","2.3868","Equity","Consumer Discretionary","Japan","$1,991,062","57,000","34.93","Tokyo Stock Exchange","USD","JPY","119.76","1,991,061.66"
"9984","JP3436100006","6770620","SOFTBANK CORP","2.2450","Equity","Telecommunications","Japan","$1,872,809","30,500","61.40","Tokyo Stock Exchange","USD","JPY","119.76","1,872,809.25"
"9432","JP3735400008","6641373","NIPPON TELEGRAPH AND TELEPHONE COR","1.8302","Equity","Telecommunications","Japan","$1,526,802","22,500","67.86","Tokyo Stock Exchange","USD","JPY","119.76","1,526,802.49"
"8411","JP3885780001","6591014","MIZUHO FINANCIAL GROUP INC","1.8066","Equity","Financials","Japan","$1,507,044","771,000","1.95","Tokyo Stock Exchange","USD","JPY","119.76","1,507,043.79"
"2914","JP3726800000","6474535","JAPAN TOBACCO INC","1.5490","Equity","Consumer Staples","Japan","$1,292,197","36,500","35.40","Tokyo Stock Exchange","USD","JPY","119.76","1,292,197.22"
"7751","JP3242800005","6172323","CANON INC","1.5057","Equity","Information Technology","Japan","$1,256,042","35,550","35.33","Tokyo Stock Exchange","USD","JPY","119.76","1,256,041.62"
"6954","JP3802400006","6356934","FANUC CORP","1.5044","Equity","Industrials","Japan","$1,254,958","6,000","209.16","Tokyo Stock Exchange","USD","JPY","119.76","1,254,957.63"
"4502","JP3463000004","6870445","TAKEDA PHARMACEUTICAL LTD","1.4073","Equity","Health Care","Japan","$1,173,957","23,000","51.04","Tokyo Stock Exchange","USD","JPY","119.76","1,173,957.33"
"9022","JP3566800003","6183552","CENTRAL JAPAN RAILWAY","1.3893","Equity","Industrials","Japan","$1,158,999","6,500","178.31","Tokyo Stock Exchange","USD","JPY","119.76","1,158,998.87"
"9020","JP3783600004","6298542","EAST JAPAN RAILWAY","1.3475","Equity","Industrials","Japan","$1,124,076","12,500","89.93","Tokyo Stock Exchange","USD","JPY","119.76","1,124,076.32"
"6758","JP3435000009","6821506","SONY CORP","1.3417","Equity","Consumer Discretionary","Japan","$1,119,284","37,000","30.25","Tokyo Stock Exchange","USD","JPY","119.76","1,119,283.60"
"8058","JP3898400001","6596785","MITSUBISHI CORP","1.3206","Equity","Industrials","Japan","$1,101,682","51,500","21.39","Tokyo Stock Exchange","USD","JPY","119.76","1,101,682.46"
