iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$291,108,763"
Shares Outstanding,"4,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BARC","GB0031348658","3134865","BARCLAYS PLC","0.8622","Equity","Financials","United Kingdom","$2,514,301","631,708","3.98","London Stock Exchange","USD","GBP","0.65","2,514,300.93"
"MET","US59156R1086","2573209","METLIFE INC","0.8253","Equity","Financials","United States","$2,406,635","46,060","52.25","New York Stock Exchange Inc.","USD","USD","1.00","2,406,635.00"
"MS","US6174464486","2262314","MORGAN STANLEY","0.8213","Equity","Financials","United States","$2,395,027","63,210","37.89","New York Stock Exchange Inc.","USD","USD","1.00","2,395,026.90"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.8135","Equity","Financials","United States","$2,372,271","12,642","187.65","New York Stock Exchange Inc.","USD","USD","1.00","2,372,271.30"
"ISP","IT0000072618","4076836","INTESA SANPAOLO","0.7094","Equity","Financials","Italy","$2,068,680","586,138","3.53","Borsa Italiana S.P.A.","USD","EUR","0.89","2,068,680.35"
"CS","FR0000120628","7088429","AXA SA","0.7089","Equity","Financials","France","$2,067,214","78,596","26.30","Nyse Euronext - Euronext Paris","USD","EUR","0.89","2,067,214.17"
"1","KYG217651051","BW9P816","CK HUTCHISON HOLDINGS LTD","0.7073","Equity","Financials","Hong Kong","$2,062,519","98,000","21.05","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","2,062,519.34"
"BK","US0640581007","B1Z77F6","BANK OF NEW YORK MELLON CORP","0.6988","Equity","Financials","United States","$2,037,752","46,942","43.41","New York Stock Exchange Inc.","USD","USD","1.00","2,037,752.22"
"PNC","US6934751057","2692665","PNC FINANCIAL SERVICES GROUP INC","0.6892","Equity","Financials","United States","$2,009,916","21,462","93.65","New York Stock Exchange Inc.","USD","USD","1.00","2,009,916.30"
"8411","JP3885780001","6591014","MIZUHO FINANCIAL GROUP INC","0.6766","Equity","Financials","Japan","$1,973,035","1,009,400","1.95","Tokyo Stock Exchange","USD","JPY","119.76","1,973,035.03"
"ZURN","CH0011075394","5983816","ZURICH INSURANCE GROUP AG","0.6739","Equity","Financials","Switzerland","$1,965,029","6,174","318.27","Six Swiss Exchange Ag","USD","CHF","0.93","1,965,029.43"
"COF","US14040H1059","2654461","CAPITAL ONE FINANCIAL CORP","0.6596","Equity","Financials","United States","$1,923,324","23,128","83.16","New York Stock Exchange Inc.","USD","USD","1.00","1,923,324.48"
"BLK","US09247X1019","2494504","BLACKROCK INC.","0.6591","Equity","Financials","United States","$1,921,988","5,194","370.04","New York Stock Exchange Inc.","USD","USD","1.00","1,921,987.76"
"DBK","DE0005140008","5750355","DEUTSCHE BANK AG","0.6323","Equity","Financials","Germany","$1,843,778","56,938","32.38","Xetra","USD","EUR","0.89","1,843,777.72"
"BMO","CA0636711016","2076009","BANK OF MONTREAL","0.5979","Equity","Financials","Canada","$1,743,518","27,146","64.23","Toronto Stock Exchange","USD","CAD","1.21","1,743,518.12"
"NDA SEK","SE0000427361","5380031","NORDEA BANK","0.5802","Equity","Financials","Sweden","$1,691,802","130,928","12.92","Nasdaq Omx Nordic","USD","SEK","8.24","1,691,801.99"
"ITUB","US4655621062","2849739","ITAU UNIBANCO HOLDING S/A ADS","0.5780","Equity","Financials","Brazil","$1,685,427","132,398","12.73","New York Stock Exchange Inc.","USD","USD","1.00","1,685,426.54"
"UCG","IT0004781412","B5M1SM3","UNICREDIT","0.5748","Equity","Financials","Italy","$1,676,027","228,438","7.34","Borsa Italiana S.P.A.","USD","EUR","0.89","1,676,026.53"
"GLE","FR0000130809","5966516","SOCIETE GENERALE","0.5633","Equity","Financials","France","$1,642,680","33,222","49.45","Nyse Euronext - Euronext Paris","USD","EUR","0.89","1,642,679.69"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","0.5616","Equity","Financials","United States","$1,637,698","17,248","94.95","New York Stock Exchange Inc.","USD","USD","1.00","1,637,697.60"
"PRU","US7443201022","2819118","PRUDENTIAL FINANCIAL INC","0.5436","Equity","Financials","United States","$1,585,113","18,522","85.58","New York Stock Exchange Inc.","USD","USD","1.00","1,585,112.76"
"CSGN","CH0012138530","7171589","CREDIT SUISSE GROUP AG","0.5276","Equity","Financials","Switzerland","$1,538,552","58,604","26.25","Six Swiss Exchange Ag","USD","CHF","0.93","1,538,552.45"
"MFC","CA56501R1064","2492519","MANULIFE FINANCIAL CORP","0.5270","Equity","Financials","Canada","$1,536,621","81,144","18.94","Toronto Stock Exchange","USD","CAD","1.21","1,536,620.62"
"SCHW","US8085131055","2779397","CHARLES SCHWAB CORP","0.5088","Equity","Financials","United States","$1,483,673","47,432","31.28","New York Stock Exchange Inc.","USD","USD","1.00","1,483,672.96"
"ACE","CH0044328745","B3BQMF6","ACE LTD","0.5082","Equity","Financials","United States","$1,481,801","13,622","108.78","New York Stock Exchange Inc.","USD","USD","1.00","1,481,801.16"
"388","HK0388045442","6267359","HONG KONG EXCHANGES AND CLEARING L","0.4920","Equity","Financials","Hong Kong","$1,434,664","39,200","36.60","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","1,434,664.19"
"2628","CNE1000002L3","6718976","CHINA LIFE INS-H","0.4889","Equity","Financials","China","$1,425,565","294,000","4.85","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","1,425,564.84"
"2318","CNE1000003X6","B01FLR7","PING AN INS GRP CO OF CHINA LTD- H","0.4802","Equity","Financials","China","$1,400,289","98,000","14.29","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","1,400,288.87"
"AV.","GB0002162385","0216238","AVIVA PLC","0.4696","Equity","Financials","United Kingdom","$1,369,539","163,072","8.40","London Stock Exchange","USD","GBP","0.65","1,369,538.67"
"STAN","GB0004082847","0408284","STANDARD CHARTERED PLC","0.4685","Equity","Financials","United Kingdom","$1,366,296","84,084","16.25","London Stock Exchange","USD","GBP","0.65","1,366,296.39"
"STT","US8574771031","2842040","STATE STREET CORP","0.4658","Equity","Financials","United States","$1,358,280","17,248","78.75","New York Stock Exchange Inc.","USD","USD","1.00","1,358,280.00"
"TRV","US89417E1091","2769503","TRAVELERS COMPANIES INC","0.4636","Equity","Financials","United States","$1,352,017","13,034","103.73","New York Stock Exchange Inc.","USD","USD","1.00","1,352,016.82"
"BBD","US0594603039","B00FSK0","BANCO BRADESCO ADR REPTG PREF","0.4568","Equity","Financials","Brazil","$1,332,173","125,440","10.62","New York Stock Exchange Inc.","USD","USD","1.00","1,332,172.80"
"BAM.A","CA1125851040","2092599","BROOKFIELD ASSET MANAGEMENT INC CL","0.4522","Equity","Financials","Canada","$1,318,748","24,258","54.36","Toronto Stock Exchange","USD","CAD","1.21","1,318,747.64"
"MMC","US5717481023","2567741","MARSH & MCLENNAN INC","0.4461","Equity","Financials","United States","$1,300,738","22,442","57.96","New York Stock Exchange Inc.","USD","USD","1.00","1,300,738.32"
"CM","CA1360691010","2170525","CANADIAN IMPERIAL BANK OF COMMERCE","0.4432","Equity","Financials","Canada","$1,292,427","16,464","78.50","Toronto Stock Exchange","USD","CAD","1.21","1,292,427.39"
"8802","JP3899600005","6596729","MITSUBISHI ESTATE CO LTD","0.4317","Equity","Financials","Japan","$1,258,986","55,000","22.89","Tokyo Stock Exchange","USD","JPY","119.76","1,258,986.35"
"CME","US12572Q1058","2965839","CME GROUP INC CLASS A","0.4313","Equity","Financials","United States","$1,257,763","13,328","94.37","NASDAQ","USD","USD","1.00","1,257,763.36"
"SREN","CH0126881561","B545MG5","SWISS RE AG","0.4289","Equity","Financials","Switzerland","$1,250,681","14,112","88.63","Six Swiss Exchange Ag","USD","CHF","0.93","1,250,680.75"
"MUV2","DE0008430026","5294121","MUNICH REINSURANCE COMPANY","0.4279","Equity","Financials","Germany","$1,247,724","6,370","195.88","Xetra","USD","EUR","0.89","1,247,723.81"
"8766","JP3910660004","6513126","TOKIO MARINE HOLDINGS INC","0.4197","Equity","Financials","Japan","$1,223,967","29,400","41.63","Tokyo Stock Exchange","USD","JPY","119.76","1,223,966.94"
"AFL","US0010551028","2026361","AFLAC INC","0.4144","Equity","Financials","United States","$1,208,364","18,816","64.22","New York Stock Exchange Inc.","USD","USD","1.00","1,208,363.52"
"8801","JP3893200000","6597603","MITSUI FUDOSAN LTD","0.4082","Equity","Financials","Japan","$1,190,477","41,000","29.04","Tokyo Stock Exchange","USD","JPY","119.76","1,190,477.18"
"AON","GB00B5BT0K07","B5BT0K0","AON PLC","0.4062","Equity","Financials","United States","$1,184,496","11,858","99.89","New York Stock Exchange Inc.","USD","USD","1.00","1,184,495.62"
"MHFI","US5806451093","2551443","MCGRAW HILL FINANCIAL INC","0.4049","Equity","Financials","United States","$1,180,821","11,074","106.63","New York Stock Exchange Inc.","USD","USD","1.00","1,180,820.62"
"ALL","US0200021014","2019952","ALLSTATE CORP","0.3993","Equity","Financials","United States","$1,164,511","17,311","67.27","New York Stock Exchange Inc.","USD","USD","1.00","1,164,510.97"
"BBT","US0549371070","2830904","BB AND T CORP","0.3977","Equity","Financials","United States","$1,159,848","29,694","39.06","New York Stock Exchange Inc.","USD","USD","1.00","1,159,847.64"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","0.3937","Equity","Financials","United States","$1,147,952","13,720","83.67","New York Stock Exchange Inc.","USD","USD","1.00","1,147,952.40"
"D05","SG1L01001701","6175203","DBS GROUP HOLDINGS LTD","0.3930","Equity","Financials","Singapore","$1,145,966","72,400","15.83","Singapore Exchange","USD","SGD","1.33","1,145,965.86"
