iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$290,435,101"
Shares Outstanding,"4,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","3.7785","Equity","Financials","United States","$11,001,339","75,264","146.17","New York Stock Exchange Inc.","USD","USD","1.00","11,001,338.88"
"WFC","US9497461015","2649100","WELLS FARGO","3.6957","Equity","Financials","United States","$10,760,280","193,844","55.51","New York Stock Exchange Inc.","USD","USD","1.00","10,760,280.44"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","3.4543","Equity","Financials","United States","$10,057,309","153,664","65.45","New York Stock Exchange Inc.","USD","USD","1.00","10,057,308.80"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.6601","Equity","Financials","United Kingdom","$7,745,053","787,136","9.84","London Stock Exchange","USD","GBP","0.64","7,745,053.36"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","2.4555","Equity","Financials","United States","$7,149,272","433,552","16.49","New York Stock Exchange Inc.","USD","USD","1.00","7,149,272.48"
"C","US1729674242","2297907","CITIGROUP INC","2.3107","Equity","Financials","United States","$6,727,684","124,656","53.97","New York Stock Exchange Inc.","USD","USD","1.00","6,727,684.32"
"SAN","ES0113900J37","5705946","BANCO SANTANDER SA","1.5086","Equity","Financials","Spain","$4,392,285","579,994","7.57","Bolsa De Madrid","USD","EUR","0.90","4,392,285.08"
"CBA","AU000000CBA7","6215035","COMMONWEALTH BANK OF AUSTRALIA","1.5039","Equity","Financials","Australia","$4,378,718","67,326","65.04","Asx - All Markets","USD","AUD","1.26","4,378,718.43"
"8306","JP3902900004","6335171","MITSUBISHI UFJ FINANCIAL GROUP INC","1.4439","Equity","Financials","Japan","$4,203,864","578,200","7.27","Tokyo Stock Exchange","USD","JPY","119.94","4,203,863.76"
"RY","CA7800871021","2754383","ROYAL BANK OF CANADA","1.3411","Equity","Financials","Canada","$3,904,698","59,584","65.53","Toronto Stock Exchange","USD","CAD","1.21","3,904,697.69"
"TD","CA8911605092","2897222","TORONTO DOMINION","1.2087","Equity","Financials","Canada","$3,519,239","76,440","46.04","Toronto Stock Exchange","USD","CAD","1.21","3,519,239.14"
"WBC","AU000000WBC1","6076146","WESTPAC BANKING CORPORATION CORP","1.1779","Equity","Financials","Australia","$3,429,578","128,576","26.67","Asx - All Markets","USD","AUD","1.26","3,429,578.36"
"AIG","US0268747849","2027342","AMERICAN INTERNATIONAL GROUP INC","1.1677","Equity","Financials","United States","$3,399,738","57,428","59.20","New York Stock Exchange Inc.","USD","USD","1.00","3,399,737.60"
"GS","US38141G1040","2407966","GOLDMAN SACHS GROUP INC","1.1611","Equity","Financials","United States","$3,380,591","16,758","201.73","New York Stock Exchange Inc.","USD","USD","1.00","3,380,591.34"
"939","CNE1000002H1","B0LMTQ3","CHINA CONSTRUCTION BANK CORP H","1.1201","Equity","Financials","China","$3,261,136","3,430,720","0.95","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","3,261,136.48"
"1299","HK0000069689","B4TX8S1","AIA GROUP LTD","1.1168","Equity","Financials","Hong Kong","$3,251,604","490,000","6.64","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","3,251,604.17"
"USB","US9029733048","2736035","US BANCORP","1.1000","Equity","Financials","United States","$3,202,762","73,206","43.75","New York Stock Exchange Inc.","USD","USD","1.00","3,202,762.50"
"UBSG","CH0244767585","BRJL176","UBS GROUP REGISTERED AG","1.0847","Equity","Financials","Switzerland","$3,158,038","148,764","21.23","Six Swiss Exchange Ag","USD","CHF","0.93","3,158,038.32"
"ALV","DE0008404005","5231485","ALLIANZ SE","1.0763","Equity","Financials","Germany","$3,133,761","18,816","166.55","Xetra","USD","EUR","0.90","3,133,760.63"
"LLOY","GB0008706128","0870612","LLOYDS BANKING GROUP PLC","1.0090","Equity","Financials","United Kingdom","$2,937,838","2,180,010","1.35","London Stock Exchange","USD","GBP","0.64","2,937,837.94"
"1398","CNE1000003G1","B1G1QD8","INDUSTRIAL & COMMERCIAL BANK OF CH","0.9998","Equity","Financials","China","$2,910,960","3,430,000","0.85","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","2,910,959.92"
"AXP","US0258161092","2026082","AMERICAN EXPRESS","0.9953","Equity","Financials","United States","$2,897,733","36,358","79.70","New York Stock Exchange Inc.","USD","USD","1.00","2,897,732.60"
"ANZ","AU000000ANZ3","6065586","AUSTRALIA AND NEW ZEALAND BANKING","0.9873","Equity","Financials","Australia","$2,874,565","113,778","25.26","Asx - All Markets","USD","AUD","1.26","2,874,564.76"
"NAB","AU000000NAB4","6624608","NATIONAL AUSTRALIA BANK LTD","0.9546","Equity","Financials","Australia","$2,779,505","99,764","27.86","Asx - All Markets","USD","AUD","1.26","2,779,504.85"
"BNP","FR0000131104","7309681","BNP PARIBAS SA","0.9455","Equity","Financials","France","$2,752,770","43,414","63.41","Nyse Euronext - Euronext Paris","USD","EUR","0.90","2,752,770.12"
"BNS","CA0641491075","2076281","BANK OF NOVA SCOTIA","0.9413","Equity","Financials","Canada","$2,740,528","50,470","54.30","Toronto Stock Exchange","USD","CAD","1.21","2,740,528.10"
"PRU","GB0007099541","0709954","PRUDENTIAL PLC","0.9372","Equity","Financials","United Kingdom","$2,728,555","106,428","25.64","London Stock Exchange","USD","GBP","0.64","2,728,555.43"
"BBVA","ES0113211835","5501906","BANCO BILBAO VIZCAYA ARGENTARIA OR","0.9104","Equity","Financials","Spain","$2,650,776","261,445","10.14","Bolsa De Madrid","USD","EUR","0.90","2,650,776.16"
"8316","JP3890350006","6563024","SUMITOMO MITSUI FINANCIAL GROUP IN","0.9059","Equity","Financials","Japan","$2,637,629","58,800","44.86","Tokyo Stock Exchange","USD","JPY","119.94","2,637,628.72"
"BARC","GB0031348658","3134865","BARCLAYS PLC","0.8806","Equity","Financials","United Kingdom","$2,563,749","631,708","4.06","London Stock Exchange","USD","GBP","0.64","2,563,748.51"
"INGA","NL0000303600","7154182","ING GROEP NV","0.8723","Equity","Financials","Netherlands","$2,539,656","158,760","16.00","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","2,539,656.21"
"MET","US59156R1086","2573209","METLIFE INC","0.8432","Equity","Financials","United States","$2,454,998","46,060","53.30","New York Stock Exchange Inc.","USD","USD","1.00","2,454,998.00"
"MS","US6174464486","2262314","MORGAN STANLEY","0.8304","Equity","Financials","United States","$2,417,782","63,210","38.25","New York Stock Exchange Inc.","USD","USD","1.00","2,417,782.50"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.7997","Equity","Financials","United States","$2,328,277","12,642","184.17","New York Stock Exchange Inc.","USD","USD","1.00","2,328,277.14"
"ISP","IT0000072618","4076836","INTESA SANPAOLO","0.7197","Equity","Financials","Italy","$2,095,544","586,138","3.58","Borsa Italiana S.P.A.","USD","EUR","0.90","2,095,543.52"
"1","KYG217651051","BW9P816","CK HUTCHISON HOLDINGS LTD","0.7063","Equity","Financials","Hong Kong","$2,056,505","98,000","20.98","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","2,056,505.34"
