iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$291,834,461"
Shares Outstanding,"4,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BRKB","US0846707026","2073390","BERKSHIRE HATHAWAY INC CLASS B","3.7527","Equity","Financials","United States","$10,897,475","75,264","144.79","New York Stock Exchange Inc.","USD","USD","1.00","10,897,474.56"
"WFC","US9497461015","2649100","WELLS FARGO","3.7028","Equity","Financials","United States","$10,752,527","193,844","55.47","New York Stock Exchange Inc.","USD","USD","1.00","10,752,526.68"
"JPM","US46625H1005","2190385","JPMORGAN CHASE & CO","3.4586","Equity","Financials","United States","$10,043,479","153,664","65.36","New York Stock Exchange Inc.","USD","USD","1.00","10,043,479.04"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.6324","Equity","Financials","United Kingdom","$7,644,169","787,136","9.71","London Stock Exchange","USD","GBP","0.64","7,644,168.94"
"BAC","US0605051046","2295677","BANK OF AMERICA CORP","2.4530","Equity","Financials","United States","$7,123,259","433,552","16.43","New York Stock Exchange Inc.","USD","USD","1.00","7,123,259.36"
"C","US1729674242","2297907","CITIGROUP INC","2.3069","Equity","Financials","United States","$6,699,013","124,656","53.74","New York Stock Exchange Inc.","USD","USD","1.00","6,699,013.44"
"CBA","AU000000CBA7","6215035","COMMONWEALTH BANK OF AUSTRALIA","1.5329","Equity","Financials","Australia","$4,451,428","67,326","66.12","Asx - All Markets","USD","AUD","1.25","4,451,428.15"
"SAN","ES0113900J37","5705946","BANCO SANTANDER SA","1.5030","Equity","Financials","Spain","$4,364,474","579,994","7.52","Bolsa De Madrid","USD","EUR","0.89","4,364,474.08"
"8306","JP3902900004","6335171","MITSUBISHI UFJ FINANCIAL GROUP INC","1.4361","Equity","Financials","Japan","$4,170,236","578,200","7.21","Tokyo Stock Exchange","USD","JPY","119.89","4,170,235.55"
"RY","CA7800871021","2754383","ROYAL BANK OF CANADA","1.3462","Equity","Financials","Canada","$3,909,362","59,584","65.61","Toronto Stock Exchange","USD","CAD","1.20","3,909,361.96"
