iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$443,465,485"
Shares Outstanding,"7,650,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"MPL","MEDIBANK PRIVATE LTD","AU000000MPL3","BRTNNQ5","0.0721","Financials","Equity","Australia","$320,563","206,856","1.55","Asx - All Markets","USD","AUD","1.36","320,562.57"
"LM","LEGG MASON INC","US5249011058","2510615","0.0674","Financials","Equity","United States","$299,758","6,120","48.98","New York Stock Exchange Inc.","USD","USD","1.00","299,757.60"
"EMG","MAN GROUP PLC","GB00B83VD954","B83VD95","0.0656","Financials","Equity","United Kingdom","$291,841","107,406","2.72","London Stock Exchange","USD","GBP","0.64","291,841.30"
"HCBK","HUDSON CITY BANCORP INC","US4436831071","2437952","0.0652","Financials","Equity","United States","$290,070","27,999","10.36","NASDAQ","USD","USD","1.00","290,069.64"
"PBCT","PEOPLES UNITED FINANCIAL INC","US7127041058","B1W41J2","0.0646","Financials","Equity","United States","$287,590","17,595","16.34","NASDAQ","USD","USD","1.00","287,590.27"
"BSAC","BANCO SANTANDER CHILE ADR","US05965X1090","2136646","0.0585","Financials","Equity","Chile","$260,230","13,005","20.01","New York Stock Exchange Inc.","USD","USD","1.00","260,230.05"
"BCH","BANCO DE CHILE ADS","US0595201064","2834252","0.0578","Financials","Equity","Chile","$256,872","4,067","63.16","New York Stock Exchange Inc.","USD","USD","1.00","256,871.72"
"BP","BANCO POPOLARE","IT0005002883","BKJ9QS7","0.0550","Financials","Equity","Italy","$244,812","14,196","17.25","Borsa Italiana S.P.A.","USD","EUR","0.92","244,811.94"
"GAM","GAM HOLDING AG","CH0102659627","B1WHVV3","0.0445","Financials","Equity","Switzerland","$197,836","9,639","20.52","Swiss Exchange","USD","CHF","0.98","197,836.36"
"HKD","HKD CASH","-","-","0.0438","Cash and/or Derivatives","Cash","Hong Kong","$194,725","1,509,506","12.90","-","USD","HKD","7.75","194,724.69"
"GNW","GENWORTH FINANCIAL A INC","US37247D1063","B011WL6","0.0391","Financials","Equity","United States","$173,754","30,753","5.65","New York Stock Exchange Inc.","USD","USD","1.00","173,754.45"
"EUR","EUR CASH","-","-","0.0299","Cash and/or Derivatives","Cash","European Union","$133,048","122,438","108.66","-","USD","EUR","0.92","133,047.71"
"AUD","AUD CASH","-","-","0.0253","Cash and/or Derivatives","Cash","Australia","$112,498","153,173","73.45","-","USD","AUD","1.36","112,497.78"
"ELEKTRA*","GRUPO ELEKTRA","MX01EL000003","2967084","0.0217","Financials","Equity","Mexico","$96,436","4,591","21.01","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","96,435.68"
"CAD","CAD CASH","-","-","0.0196","Cash and/or Derivatives","Cash","Canada","$87,271","114,866","75.98","-","USD","CAD","1.32","87,270.97"
"GBP","GBP CASH","-","-","0.0152","Cash and/or Derivatives","Cash","United Kingdom","$67,627","43,331","156.07","-","USD","GBP","0.64","67,626.66"
"JPY","JPY CASH","-","-","0.0134","Cash and/or Derivatives","Cash","Japan","$59,523","7,440,094","0.80","-","USD","JPY","125.00","59,523.13"
"USD","USD CASH","-","-","0.0108","Cash and/or Derivatives","Cash","United States","$47,919","47,919","100.00","-","USD","USD","1.00","47,919.48"
"SGD","SGD CASH","-","-","0.0072","Cash and/or Derivatives","Cash","Singapore","$32,261","44,717","72.14","-","USD","SGD","1.39","32,260.93"
"CHF","CHF CASH","-","-","0.0055","Cash and/or Derivatives","Cash","Switzerland","$24,396","23,951","101.86","-","USD","CHF","0.98","24,396.06"
"SEK","SEK CASH","-","-","0.0031","Cash and/or Derivatives","Cash","Sweden","$13,944","121,815","11.45","-","USD","SEK","8.74","13,944.22"
"MXN","MXN CASH","-","-","0.0008","Cash and/or Derivatives","Cash","Mexico","$3,366","55,112","6.11","-","USD","MXN","16.37","3,366.25"
"DKK","DKK CASH","-","-","0.0005","Cash and/or Derivatives","Cash","Denmark","$2,095","14,388","14.56","-","USD","DKK","6.87","2,095.44"
"NOK","NOK CASH","-","-","0.0001","Cash and/or Derivatives","Cash","Norway","$511","4,225","12.10","-","USD","NOK","8.26","511.39"
"CKL1","IRISH BANK RESOLUTION CORPORATION","IE00B06H8J93","B076LH4","0.0000","Financials","Equity","Ireland","$1","47,975","0.00","Irish Stock Exchange - All Market","USD","EUR","0.92","0.52"
 
