iShares Russell 1000 Growth ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$29,269,183,057"
Shares Outstanding,"291,150,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"DD","US2635341090","2018175","E I DU PONT DE NEMOURS","0.5843","Equity","Materials","$171,699,678","2,280,814","75.28","New York Stock Exchange Inc.","171,699,677.92"
"PCLN","US7415034039","2779063","PRICELINE GROUP INC/THE","0.5564","Equity","Consumer Discretionary","$163,489,546","135,703","1,204.76","NASDAQ","163,489,546.28"
"WBA","US9314271084","BTN1Y44","WALGREEN BOOTS ALLIANCE","0.5463","Equity","Consumer Staples","$160,528,047","1,888,121","85.02","NASDAQ","160,528,047.42"
"ACN","IE00B4BNMY34","B4BNMY3","ACCENTURE PLC","0.5431","Equity","Information Technology","$159,586,563","1,664,267","95.89","New York Stock Exchange Inc.","159,586,562.63"
"COST","US22160K1051","2701271","COSTCO WHOLESALE CORP","0.5412","Equity","Consumer Staples","$159,035,167","1,090,178","145.88","NASDAQ","159,035,166.64"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","0.5286","Equity","Information Technology","$155,332,465","2,839,716","54.70","NASDAQ","155,332,465.20"
"MON","US61166W1018","2654320","MONSANTO","0.5230","Equity","Materials","$153,684,861","1,272,331","120.79","New York Stock Exchange Inc.","153,684,861.49"
"CL","US1941621039","2209106","COLGATE-PALMOLIVE","0.4997","Equity","Consumer Staples","$146,838,283","2,153,054","68.20","New York Stock Exchange Inc.","146,838,282.80"
"ESRX","US30219G1085","B7QQYV9","EXPRESS SCRIPTS HOLDING CO","0.4877","Equity","Health Care","$143,320,319","1,672,154","85.71","NASDAQ","143,320,319.34"
"MCK","US58155Q1031","2378534","MCKESSON CORP","0.4729","Equity","Health Care","$138,969,320","606,641","229.08","New York Stock Exchange Inc.","138,969,320.28"
"LMT","US5398301094","2522096","LOCKHEED MARTIN CORP","0.4621","Equity","Industrials","$135,800,049","712,936","190.48","New York Stock Exchange Inc.","135,800,049.28"
"KRFT","US50076Q1067","B8P0S06","KRAFT FOODS GROUP INC","0.4586","Equity","Consumer Staples","$134,757,999","1,566,225","86.04","NASDAQ","134,757,999.00"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","0.4575","Equity","Energy","$134,438,134","1,437,841","93.50","New York Stock Exchange Inc.","134,438,133.50"
"TJX","US8725401090","2989301","TJX INC","0.4221","Equity","Consumer Discretionary","$124,037,908","1,842,512","67.32","New York Stock Exchange Inc.","124,037,907.84"
"FOXA","US90130A1016","BBM4S68","TWENTY FIRST CENTURY FOX INC CLASS","0.4120","Equity","Consumer Discretionary","$121,076,091","3,692,470","32.79","NASDAQ","121,076,091.30"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","0.4035","Equity","Health Care","$118,577,030","1,168,592","101.47","New York Stock Exchange Inc.","118,577,030.24"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","0.3980","Equity","Information Technology","$116,957,494","1,615,435","72.40","New York Stock Exchange Inc.","116,957,494.00"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.3894","Equity","Financials","$114,417,711","609,740","187.65","New York Stock Exchange Inc.","114,417,711.00"
"LYB","NL0009434992","B3SPXZ3","LYONDELLBASELL INDUSTRIES NV CLASS","0.3892","Equity","Materials","$114,366,357","1,101,477","103.83","New York Stock Exchange Inc.","114,366,356.91"
"TWC","US88732J2078","B63BPC8","TIME WARNER CABLE INC","0.3859","Equity","Consumer Discretionary","$113,384,771","733,028","154.68","New York Stock Exchange Inc.","113,384,771.04"
"ADP","US0530151036","2065308","AUTOMATIC DATA PROCESSING INC","0.3770","Equity","Information Technology","$110,795,963","1,268,414","87.35","NASDAQ","110,795,962.90"
"DTV","US25490A3095","B84LSN3","DIRECTV","0.3743","Equity","Consumer Discretionary","$109,994,871","1,230,643","89.38","NASDAQ","109,994,871.34"
"HAL","US4062161017","2405302","HALLIBURTON","0.3638","Equity","Energy","$106,896,908","2,221,927","48.11","New York Stock Exchange Inc.","106,896,907.97"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","0.3592","Equity","Financials","$105,561,327","1,111,757","94.95","New York Stock Exchange Inc.","105,561,327.15"
"YUM","US9884981013","2098876","YUM BRANDS INC","0.3552","Equity","Consumer Discretionary","$104,375,487","1,161,276","89.88","New York Stock Exchange Inc.","104,375,486.88"
"BMY","US1101221083","2126335","BRISTOL MYERS SQUIBB","0.3545","Equity","Health Care","$104,179,021","1,556,537","66.93","New York Stock Exchange Inc.","104,179,021.41"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","0.3437","Equity","Information Technology","$100,998,068","1,600,857","63.09","NASDAQ","100,998,068.13"
"WMB","US9694571004","2967181","WILLIAMS INC","0.3407","Equity","Energy","$100,113,859","1,965,329","50.94","New York Stock Exchange Inc.","100,113,859.26"
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","0.3401","Equity","Information Technology","$99,930,845","1,309,538","76.31","NASDAQ","99,930,844.78"
"REGN","US75886F1075","2730190","REGENERON PHARMACEUTICALS INC","0.3398","Equity","Health Care","$99,862,862","207,490","481.29","NASDAQ","99,862,862.10"
"BAX","US0718131099","2085102","BAXTER INTERNATIONAL INC","0.3381","Equity","Health Care","$99,345,919","1,427,589","69.59","New York Stock Exchange Inc.","99,345,918.51"
"KR","US5010441013","2497406","KROGER","0.3275","Equity","Consumer Staples","$96,245,120","1,340,648","71.79","New York Stock Exchange Inc.","96,245,119.92"
"PX","US74005P1049","2699291","PRAXAIR INC","0.3174","Equity","Materials","$93,272,292","770,718","121.02","New York Stock Exchange Inc.","93,272,292.36"
"AAL","US02376R1023","BCV7KT2","AMERICAN AIRLINES GROUP INC","0.3162","Equity","Industrials","$92,923,444","1,894,850","49.04","NASDAQ","92,923,444.00"
"KMB","US4943681035","2491839","KIMBERLY CLARK CORP","0.3096","Equity","Consumer Staples","$90,984,689","821,829","110.71","New York Stock Exchange Inc.","90,984,688.59"
"GIS","US3703341046","2367026","GENERAL MILLS INC","0.3096","Equity","Consumer Staples","$90,973,960","1,616,740","56.27","New York Stock Exchange Inc.","90,973,959.80"
"NFLX","US64110L1061","2857817","NETFLIX INC","0.3084","Equity","Consumer Discretionary","$90,629,360","157,726","574.60","NASDAQ","90,629,359.60"
"ALXN","US0153511094","2036070","ALEXION PHARMACEUTICALS INC","0.2887","Equity","Health Care","$84,836,749","520,407","163.02","NASDAQ","84,836,749.14"
"PPG","US6935061076","2698470","PPG INDUSTRIES INC","0.2836","Equity","Materials","$83,321,060","363,768","229.05","New York Stock Exchange Inc.","83,321,060.40"
"ITW","US4523081093","2457552","ILLINOIS TOOL INC","0.2779","Equity","Industrials","$81,668,398","851,422","95.92","New York Stock Exchange Inc.","81,668,398.24"
"EMR","US2910111044","2313405","EMERSON ELECTRIC","0.2759","Equity","Industrials","$81,083,697","1,379,209","58.79","New York Stock Exchange Inc.","81,083,697.11"
"AVGO","SG9999006241","B3WS2X9","AVAGO TECHNOLOGIES LTD","0.2759","Equity","Information Technology","$81,067,276","657,320","123.33","NASDAQ","81,067,275.60"
"ECL","US2788651006","2304227","ECOLAB INC","0.2740","Equity","Materials","$80,510,033","701,368","114.79","New York Stock Exchange Inc.","80,510,032.72"
"VRTX","US92532F1003","2931034","VERTEX PHARMACEUTICALS INC","0.2694","Equity","Health Care","$79,178,053","621,443","127.41","NASDAQ","79,178,052.63"
"PCP","US7401891053","2699514","PRECISION CASTPARTS CORP","0.2675","Equity","Industrials","$78,598,190","380,879","206.36","New York Stock Exchange Inc.","78,598,190.44"
"INTU","US4612021034","2459020","INTUIT INC","0.2612","Equity","Information Technology","$76,746,646","746,926","102.75","NASDAQ","76,746,646.50"
"MHFI","US5806451093","2551443","MCGRAW HILL FINANCIAL INC","0.2599","Equity","Financials","$76,366,060","716,178","106.63","New York Stock Exchange Inc.","76,366,060.14"
"CCI","US22822V1017","BTGQCX1","CROWN CASTLE INTERNATIONAL REIT CO","0.2501","Equity","Financials","$73,482,341","878,240","83.67","New York Stock Exchange Inc.","73,482,340.80"
"BDX","US0758871091","2087807","BECTON DICKINSON","0.2456","Equity","Health Care","$72,185,103","508,310","142.01","New York Stock Exchange Inc.","72,185,103.10"
"CBS","US1248572026","B0SRLH6","CBS CORP- CLASS B","0.2453","Equity","Consumer Discretionary","$72,094,082","1,185,368","60.82","New York Stock Exchange Inc.","72,094,081.76"
"ILMN","US4523271090","2613990","ILLUMINA INC","0.2444","Equity","Health Care","$71,818,213","366,775","195.81","NASDAQ","71,818,212.75"
"VIAB","US92553P2011","B0SRLF4","VIACOM INC CLASS B","0.2414","Equity","Consumer Discretionary","$70,930,480","1,067,587","66.44","NASDAQ","70,930,480.28"
"MYL","NL0011031208","BVFMFG8","MYLAN NV","0.2386","Equity","Health Care","$70,120,478","983,319","71.31","NASDAQ","70,120,477.89"
"LUV","US8447411088","2831543","SOUTHWEST AIRLINES","0.2383","Equity","Industrials","$70,035,756","1,620,073","43.23","New York Stock Exchange Inc.","70,035,755.79"
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","0.2333","Equity","Financials","$68,542,982","348,766","196.53","New York Stock Exchange Inc.","68,542,981.98"
"ABC","US03073E1055","2795393","AMERISOURCEBERGEN CORP","0.2332","Equity","Health Care","$68,512,067","594,207","115.30","New York Stock Exchange Inc.","68,512,067.10"
"LO","US5441471019","B39GHT7","LORILLARD INC","0.2326","Equity","Consumer Staples","$68,335,748","953,877","71.64","New York Stock Exchange Inc.","68,335,748.28"
"CMI","US2310211063","2240202","CUMMINS INC","0.2316","Equity","Industrials","$68,054,824","483,825","140.66","New York Stock Exchange Inc.","68,054,824.50"
"MU","US5951121038","2588184","MICRON TECHNOLOGY INC","0.2284","Equity","Information Technology","$67,130,740","2,469,858","27.18","NASDAQ","67,130,740.44"
"MRK","US58933Y1055","2778844","MERCK & CO INC","0.2225","Equity","Health Care","$65,384,909","1,076,472","60.74","New York Stock Exchange Inc.","65,384,909.28"
"VFC","US9182041080","2928683","VF CORP","0.2221","Equity","Consumer Discretionary","$65,263,774","907,702","71.90","New York Stock Exchange Inc.","65,263,773.80"
"ORLY","US67103H1077","B65LWX6","OREILLY AUTOMOTIVE INC","0.2100","Equity","Consumer Discretionary","$61,707,767","279,107","221.09","NASDAQ","61,707,766.63"
"UAL","US9100471096","B4QG225","UNITED CONTINENTAL HOLDINGS INC","0.2088","Equity","Industrials","$61,362,161","982,738","62.44","New York Stock Exchange Inc.","61,362,160.72"
"SHW","US8243481061","2804211","SHERWIN WILLIAMS","0.2071","Equity","Materials","$60,847,628","211,865","287.20","New York Stock Exchange Inc.","60,847,628.00"
"ZTS","US98978V1035","B95WG16","ZOETIS INC CLASS A","0.2059","Equity","Health Care","$60,507,354","1,318,243","45.90","New York Stock Exchange Inc.","60,507,353.70"
"PXD","US7237871071","2690830","PIONEER NATURAL RESOURCE","0.2037","Equity","Energy","$59,866,048","376,374","159.06","New York Stock Exchange Inc.","59,866,048.44"
"TSLA","US88160R1014","B616C79","TESLA MOTORS INC","0.2014","Equity","Consumer Discretionary","$59,167,643","250,064","236.61","NASDAQ","59,167,643.04"
"AZO","US0533321024","2065955","AUTOZONE INC","0.2004","Equity","Consumer Discretionary","$58,877,501","85,811","686.13","New York Stock Exchange Inc.","58,877,501.43"
"FDX","US31428X1063","2142784","FEDEX CORP","0.1972","Equity","Industrials","$57,957,839","334,340","173.35","New York Stock Exchange Inc.","57,957,839.00"
