iShares Russell 1000 Growth ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$29,182,342,895"
Shares Outstanding,"291,150,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","6.8419","Equity","Information Technology","$1,997,987,052","15,874,048","125.86","NASDAQ","1,997,987,051.52"
"MSFT","US5949181045","2588173","MICROSOFT CORP","2.2814","Equity","Information Technology","$666,228,184","14,070,289","47.35","NASDAQ","666,228,184.15"
"VZ","US92343V1044","2090571","VERIZON COMMUNICATIONS INC","1.8525","Equity","Telecommunications","$540,972,970","10,902,317","49.62","New York Stock Exchange Inc.","540,972,969.54"
"GILD","US3755581036","2369174","GILEAD SCIENCES INC","1.4614","Equity","Health Care","$426,776,547","4,042,976","105.56","NASDAQ","426,776,546.56"
"AMZN","US0231351067","2000019","AMAZON COM INC","1.4598","Equity","Consumer Discretionary","$426,309,382","989,071","431.02","NASDAQ","426,309,382.42"
"KO","US1912161007","2206657","COCA-COLA","1.4565","Equity","Consumer Staples","$425,342,010","10,453,232","40.69","New York Stock Exchange Inc.","425,342,010.08"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","1.4545","Equity","Information Technology","$424,741,131","2,490,420","170.55","New York Stock Exchange Inc.","424,741,131.00"
"DIS","US2546871060","2270726","WALT DISNEY","1.4293","Equity","Consumer Discretionary","$417,382,881","3,820,788","109.24","New York Stock Exchange Inc.","417,382,881.12"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","1.3788","Equity","Information Technology","$402,655,128","5,198,233","77.46","NASDAQ","402,655,128.18"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","1.3633","Equity","Information Technology","$398,104,769","738,969","538.73","NASDAQ","398,104,769.37"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","1.3583","Equity","Information Technology","$396,648,798","749,752","529.04","NASDAQ","396,648,798.08"
"HD","US4370761029","2434209","HOME DEPOT INC","1.3172","Equity","Consumer Discretionary","$384,649,395","3,418,498","112.52","New York Stock Exchange Inc.","384,649,394.96"
"PEP","US7134481081","2681511","PEPSICO INC","1.3148","Equity","Consumer Staples","$383,963,252","3,991,302","96.20","New York Stock Exchange Inc.","383,963,252.40"
"ORCL","US68389X1054","2661568","ORACLE CORP","1.2902","Equity","Information Technology","$376,754,321","8,647,104","43.57","New York Stock Exchange Inc.","376,754,321.28"
"V","US92826C8394","B2PZN04","VISA INC CLASS A","1.2421","Equity","Information Technology","$362,718,095","5,280,508","68.69","New York Stock Exchange Inc.","362,718,094.52"
"CMCSA","US20030N1019","2044545","COMCAST A CORP","1.2249","Equity","Consumer Discretionary","$357,703,471","6,239,921","57.33","NASDAQ","357,703,471.32"
"SLB","AN8068571086","2779201","SCHLUMBERGER NV","1.0842","Equity","Energy","$316,612,656","3,423,950","92.47","New York Stock Exchange Inc.","316,612,656.50"
"QCOM","US7475251036","2714923","QUALCOMM INC","1.0467","Equity","Information Technology","$305,658,322","4,443,677","68.78","NASDAQ","305,658,322.44"
"AMGN","US0311621009","2023607","AMGEN INC","1.0238","Equity","Health Care","$298,975,808","1,889,382","158.24","NASDAQ","298,975,807.68"
"ACT","IE00BD1NQJ95","BD1NQJ9","ACTAVIS PLC","0.9727","Equity","Health Care","$284,051,180","957,078","296.79","New York Stock Exchange Inc.","284,051,179.62"
"BA","US0970231058","2108601","BOEING","0.9561","Equity","Industrials","$279,202,186","1,919,839","145.43","New York Stock Exchange Inc.","279,202,185.77"
"MMM","US88579Y1010","2595708","3M CO","0.9442","Equity","Industrials","$275,724,097","1,722,522","160.07","New York Stock Exchange Inc.","275,724,096.54"
"ABBV","US00287Y1091","B92SR70","ABBVIE INC","0.9291","Equity","Health Care","$271,306,261","4,186,179","64.81","New York Stock Exchange Inc.","271,306,260.99"
"MCD","US5801351017","2550707","MCDONALDS CORP","0.8728","Equity","Consumer Discretionary","$254,887,547","2,602,221","97.95","New York Stock Exchange Inc.","254,887,546.95"
"MO","US02209S1033","2692632","ALTRIA GROUP INC","0.8666","Equity","Consumer Staples","$253,058,589","4,947,382","51.15","New York Stock Exchange Inc.","253,058,589.30"
"UNP","US9078181081","2914734","UNION PACIFIC CORP","0.8638","Equity","Industrials","$252,238,286","2,384,781","105.77","New York Stock Exchange Inc.","252,238,286.37"
"BIIB","US09062X1037","2455965","BIOGEN INC INC","0.8453","Equity","Health Care","$246,857,735","624,482","395.30","NASDAQ","246,857,734.60"
"MA","US57636Q1040","B121557","MASTERCARD INC CLASS A","0.8374","Equity","Information Technology","$244,534,711","2,646,766","92.39","New York Stock Exchange Inc.","244,534,710.74"
"CELG","US1510201049","2182348","CELGENE CORP","0.8200","Equity","Health Care","$239,468,437","2,108,368","113.58","NASDAQ","239,468,437.44"
"HON","US4385161066","2020459","HONEYWELL INTERNATIONAL INC","0.7223","Equity","Industrials","$210,936,415","2,061,738","102.31","New York Stock Exchange Inc.","210,936,414.78"
"PM","US7181721090","B2PKRQ3","PHILIP MORRIS INTERNATIONAL INC","0.7003","Equity","Consumer Staples","$204,499,250","2,430,753","84.13","New York Stock Exchange Inc.","204,499,249.89"
"SBUX","US8552441094","2842255","STARBUCKS CORP N1","0.6748","Equity","Consumer Discretionary","$197,042,536","3,963,841","49.71","NASDAQ","197,042,536.11"
"EBAY","US2786421030","2293819","EBAY INC","0.6661","Equity","Information Technology","$194,522,556","3,336,579","58.30","NASDAQ","194,522,555.70"
"AXP","US0258161092","2026082","AMERICAN EXPRESS","0.6467","Equity","Financials","$188,863,205","2,388,255","79.08","New York Stock Exchange Inc.","188,863,205.40"
"NKE","US6541061031","2640147","NIKE INC CLASS B","0.6446","Equity","Consumer Discretionary","$188,253,209","1,838,949","102.37","New York Stock Exchange Inc.","188,253,209.13"
"UPS","US9113121068","2517382","UNITED PARCEL SERVICE INC CLASS B","0.6380","Equity","Industrials","$186,299,393","1,863,553","99.97","New York Stock Exchange Inc.","186,299,393.41"
"LOW","US5486611073","2536763","LOWES COMPANIES INC","0.6322","Equity","Consumer Discretionary","$184,607,738","2,505,874","73.67","New York Stock Exchange Inc.","184,607,737.58"
"DD","US2635341090","2018175","E I DU PONT DE NEMOURS","0.5850","Equity","Materials","$170,836,293","2,282,382","74.85","New York Stock Exchange Inc.","170,836,292.70"
"PCLN","US7415034039","2779063","PRICELINE GROUP INC/THE","0.5503","Equity","Consumer Discretionary","$160,709,309","135,795","1,183.47","NASDAQ","160,709,308.65"
"WBA","US9314271084","BTN1Y44","WALGREEN BOOTS ALLIANCE","0.5446","Equity","Consumer Staples","$159,051,123","1,889,417","84.18","NASDAQ","159,051,123.06"
"ACN","IE00B4BNMY34","B4BNMY3","ACCENTURE PLC","0.5442","Equity","Information Technology","$158,913,518","1,665,411","95.42","New York Stock Exchange Inc.","158,913,517.62"
"COST","US22160K1051","2701271","COSTCO WHOLESALE CORP","0.5382","Equity","Consumer Staples","$157,169,709","1,090,926","144.07","NASDAQ","157,169,708.82"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","0.5271","Equity","Information Technology","$153,918,947","2,841,668","54.16","NASDAQ","153,918,947.22"
"MON","US61166W1018","2654320","MONSANTO","0.5060","Equity","Materials","$147,768,404","1,273,207","116.06","New York Stock Exchange Inc.","147,768,404.42"
"CL","US1941621039","2209106","COLGATE-PALMOLIVE","0.5008","Equity","Consumer Staples","$146,249,768","2,154,534","67.88","New York Stock Exchange Inc.","146,249,767.92"
"ESRX","US30219G1085","B7QQYV9","EXPRESS SCRIPTS HOLDING CO","0.4922","Equity","Health Care","$143,728,275","1,673,302","85.89","NASDAQ","143,728,275.29"
"MCK","US58155Q1031","2378534","MCKESSON CORP","0.4772","Equity","Health Care","$139,349,934","607,057","229.55","New York Stock Exchange Inc.","139,349,934.35"
"LMT","US5398301094","2522096","LOCKHEED MARTIN CORP","0.4657","Equity","Industrials","$135,985,749","713,424","190.61","New York Stock Exchange Inc.","135,985,748.64"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","0.4602","Equity","Energy","$134,401,017","1,438,829","93.41","New York Stock Exchange Inc.","134,401,016.89"
"KRFT","US50076Q1067","B8P0S06","KRAFT FOODS GROUP INC","0.4564","Equity","Consumer Staples","$133,267,604","1,567,301","85.03","NASDAQ","133,267,604.03"
"TJX","US8725401090","2989301","TJX INC","0.4192","Equity","Consumer Discretionary","$122,408,289","1,843,776","66.39","New York Stock Exchange Inc.","122,408,288.64"
"FOXA","US90130A1016","BBM4S68","TWENTY FIRST CENTURY FOX INC CLASS","0.4126","Equity","Consumer Discretionary","$120,475,671","3,695,006","32.60","NASDAQ","120,475,670.63"
"JNJ","US4781601046","2475833","JOHNSON & JOHNSON","0.4023","Equity","Health Care","$117,489,216","1,169,396","100.47","New York Stock Exchange Inc.","117,489,216.12"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","0.3973","Equity","Information Technology","$116,019,291","1,616,543","71.77","New York Stock Exchange Inc.","116,019,291.11"
"LYB","NL0009434992","B3SPXZ3","LYONDELLBASELL INDUSTRIES NV CLASS","0.3896","Equity","Materials","$113,783,513","1,102,233","103.23","New York Stock Exchange Inc.","113,783,512.59"
"TWC","US88732J2078","B63BPC8","TIME WARNER CABLE INC","0.3890","Equity","Consumer Discretionary","$113,602,101","733,532","154.87","New York Stock Exchange Inc.","113,602,100.84"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.3854","Equity","Financials","$112,531,809","610,160","184.43","New York Stock Exchange Inc.","112,531,808.80"
"DTV","US25490A3095","B84LSN3","DIRECTV","0.3821","Equity","Consumer Discretionary","$111,585,037","1,231,487","90.61","NASDAQ","111,585,037.07"
"ADP","US0530151036","2065308","AUTOMATIC DATA PROCESSING INC","0.3771","Equity","Information Technology","$110,123,253","1,269,286","86.76","NASDAQ","110,123,253.36"
"HAL","US4062161017","2405302","HALLIBURTON","0.3616","Equity","Energy","$105,591,878","2,223,455","47.49","New York Stock Exchange Inc.","105,591,877.95"
"BMY","US1101221083","2126335","BRISTOL MYERS SQUIBB","0.3600","Equity","Health Care","$105,138,338","1,557,605","67.50","New York Stock Exchange Inc.","105,138,337.50"
"YUM","US9884981013","2098876","YUM BRANDS INC","0.3597","Equity","Consumer Discretionary","$105,039,688","1,162,072","90.39","New York Stock Exchange Inc.","105,039,688.08"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","0.3566","Equity","Financials","$104,131,966","1,112,521","93.60","New York Stock Exchange Inc.","104,131,965.60"
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","0.3436","Equity","Information Technology","$100,340,238","1,310,438","76.57","NASDAQ","100,340,237.66"
"REGN","US75886F1075","2730190","REGENERON PHARMACEUTICALS INC","0.3409","Equity","Health Care","$99,539,740","207,634","479.40","NASDAQ","99,539,739.60"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","0.3408","Equity","Information Technology","$99,529,588","1,601,957","62.13","NASDAQ","99,529,588.41"
"WMB","US9694571004","2967181","WILLIAMS INC","0.3374","Equity","Energy","$98,530,718","1,966,681","50.10","New York Stock Exchange Inc.","98,530,718.10"
"BAX","US0718131099","2085102","BAXTER INTERNATIONAL INC","0.3358","Equity","Health Care","$98,056,976","1,428,569","68.64","New York Stock Exchange Inc.","98,056,976.16"
"KR","US5010441013","2497406","KROGER","0.3277","Equity","Consumer Staples","$95,707,461","1,341,568","71.34","New York Stock Exchange Inc.","95,707,461.12"
"AAL","US02376R1023","BCV7KT2","AMERICAN AIRLINES GROUP INC","0.3172","Equity","Industrials","$92,626,928","1,896,150","48.85","NASDAQ","92,626,927.50"
"NFLX","US64110L1061","2857817","NETFLIX INC","0.3154","Equity","Consumer Discretionary","$92,118,236","157,834","583.64","NASDAQ","92,118,235.76"
"GIS","US3703341046","2367026","GENERAL MILLS INC","0.3125","Equity","Consumer Staples","$91,246,853","1,617,852","56.40","New York Stock Exchange Inc.","91,246,852.80"
"PX","US74005P1049","2699291","PRAXAIR INC","0.3112","Equity","Materials","$90,883,629","771,246","117.84","New York Stock Exchange Inc.","90,883,628.64"
"KMB","US4943681035","2491839","KIMBERLY CLARK CORP","0.3091","Equity","Consumer Staples","$90,257,632","822,393","109.75","New York Stock Exchange Inc.","90,257,631.75"
"ALXN","US0153511094","2036070","ALEXION PHARMACEUTICALS INC","0.2872","Equity","Health Care","$83,884,504","520,763","161.08","NASDAQ","83,884,504.04"
"EMR","US2910111044","2313405","EMERSON ELECTRIC","0.2844","Equity","Industrials","$83,057,848","1,380,157","60.18","New York Stock Exchange Inc.","83,057,848.26"
"PPG","US6935061076","2698470","PPG INDUSTRIES INC","0.2798","Equity","Materials","$81,717,952","364,016","224.49","New York Stock Exchange Inc.","81,717,951.84"
"ITW","US4523081093","2457552","ILLINOIS TOOL INC","0.2790","Equity","Industrials","$81,468,814","852,006","95.62","New York Stock Exchange Inc.","81,468,813.72"
"AVGO","SG9999006241","B3WS2X9","AVAGO TECHNOLOGIES LTD","0.2769","Equity","Information Technology","$80,873,067","657,772","122.95","NASDAQ","80,873,067.40"
"ECL","US2788651006","2304227","ECOLAB INC","0.2727","Equity","Materials","$79,624,656","701,848","113.45","New York Stock Exchange Inc.","79,624,655.60"
