iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$16,630,433,506"
Shares Outstanding,"140,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SKX","US8305661055","2428042","SKECHERS USA INC. CL A","0.6126","Equity","Consumer Discretionary","$102,132,172","966,703","105.65","New York Stock Exchange Inc.","102,132,171.95"
"MANH","US5627501092","2239471","MANHATTAN ASSOCIATES INC.","0.5844","Equity","Information Technology","$97,426,449","1,744,743","55.84","NASDAQ","97,426,449.12"
"WST","US9553061055","2950482","WEST PHARMACEUTICAL SERVICES INC.","0.5517","Equity","Health Care","$91,983,124","1,680,671","54.73","New York Stock Exchange Inc.","91,983,123.83"
"TTC","US8910921084","2897040","TORO CO.","0.5431","Equity","Industrials","$90,550,765","1,308,348","69.21","New York Stock Exchange Inc.","90,550,765.08"
"PRXL","US6994621075","2671318","PAREXEL INTERNATIONAL CORP.","0.5209","Equity","Health Care","$86,843,432","1,287,714","67.44","NASDAQ","86,843,432.16"
"CASY","US1475281036","2179414","CASEYS GENERAL STORES INC.","0.4993","Equity","Consumer Staples","$83,247,724","914,107","91.07","NASDAQ","83,247,724.49"
"CW","US2315611010","2241205","CURTISS-WRIGHT CORP.","0.4958","Equity","Industrials","$82,654,786","1,124,249","73.52","New York Stock Exchange Inc.","82,654,786.48"
"SYNA","US87157D1090","2839268","SYNAPTICS INC.","0.4810","Equity","Information Technology","$80,196,960","863,633","92.86","NASDAQ","80,196,960.38"
"JACK","US4663671091","2344922","JACK IN THE BOX INC.","0.4802","Equity","Consumer Discretionary","$80,057,308","895,696","89.38","NASDAQ","80,057,308.48"
"EPR","US26884U1097","B8XXZP1","EPR PROPERTIES","0.4788","Equity","Financials","$79,824,896","1,342,046","59.48","New York Stock Exchange Inc.","79,824,896.08"
"CBRL","US22410J1060","2231091","CRACKER BARREL OLD COUNTRY STORE I","0.4688","Equity","Consumer Discretionary","$78,158,387","562,898","138.85","NASDAQ","78,158,387.30"
"MKTX","US57060D1081","B03Q9D0","MARKETAXESS HOLDINGS INC.","0.4672","Equity","Financials","$77,882,678","878,244","88.68","NASDAQ","77,882,677.92"
"MSCC","US5951371005","2588140","MICROSEMI CORP.","0.4657","Equity","Information Technology","$77,634,136","2,237,295","34.70","NASDAQ","77,634,136.50"
"AMSG","US03232P4054","2781381","AMSURG CORP.","0.4635","Equity","Health Care","$77,269,209","1,115,962","69.24","NASDAQ","77,269,208.88"
"SSS","US84610H1086","2832212","SOVRAN SELF STORAGE INC.","0.4618","Equity","Financials","$76,996,327","836,462","92.05","New York Stock Exchange Inc.","76,996,327.10"
"PPS","US7374641071","2705262","POST PROPERTIES INC.","0.4435","Equity","Financials","$73,946,482","1,284,239","57.58","New York Stock Exchange Inc.","73,946,481.62"
"WWW","US9780971035","2977500","WOLVERINE WORLD WIDE INC.","0.4422","Equity","Consumer Discretionary","$73,728,299","2,425,273","30.40","New York Stock Exchange Inc.","73,728,299.20"
"JCOM","US48123V1026","B75DGJ3","J2 GLOBAL INC","0.4361","Equity","Information Technology","$72,709,616","1,077,978","67.45","NASDAQ","72,709,616.10"
"OZRK","US0639041062","2085856","BANK OF THE OZARKS INC.","0.4335","Equity","Financials","$72,278,631","1,652,083","43.75","NASDAQ","72,278,631.25"
"ENS","US29275Y1029","B020GQ5","ENERSYS INC.","0.4258","Equity","Industrials","$70,995,821","1,039,166","68.32","New York Stock Exchange Inc.","70,995,821.12"
