iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,955,159,004"
Shares Outstanding,"27,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","20.3436","Equity","Information Technology","$604,488,949","4,785,378","126.32","NASDAQ","604,488,948.96"
"MSFT","US5949181045","2588173","MICROSOFT CORP","10.7447","Equity","Information Technology","$319,267,263","6,739,862","47.37","NASDAQ","319,267,262.94"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","4.5278","Equity","Information Technology","$134,537,918","1,724,624","78.01","NASDAQ","134,537,918.24"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","4.3491","Equity","Information Technology","$129,227,942","755,189","171.12","New York Stock Exchange Inc.","129,227,941.68"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","4.3091","Equity","Information Technology","$128,041,625","234,603","545.78","NASDAQ","128,041,625.34"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","4.2805","Equity","Information Technology","$127,190,808","3,890,817","32.69","NASDAQ","127,190,807.73"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","4.2500","Equity","Information Technology","$126,284,847","235,738","535.70","NASDAQ","126,284,846.60"
"CSCO","US17275R1023","2198163","CISCO SYSTEMS INC","4.1226","Equity","Information Technology","$122,499,350","4,193,747","29.21","NASDAQ","122,499,349.87"
"ORCL","US68389X1054","2661568","ORACLE CORP","3.8856","Equity","Information Technology","$115,457,199","2,633,604","43.84","New York Stock Exchange Inc.","115,457,199.36"
"QCOM","US7475251036","2714923","QUALCOMM INC","3.1492","Equity","Information Technology","$93,574,281","1,355,167","69.05","NASDAQ","93,574,281.35"
"EBAY","US2786421030","2293819","EBAY INC","1.7761","Equity","Information Technology","$52,774,247","904,598","58.34","NASDAQ","52,774,247.32"
"HPQ","US4282361033","2424006","HEWLETT PACKARD","1.6934","Equity","Information Technology","$50,318,548","1,493,132","33.70","New York Stock Exchange Inc.","50,318,548.40"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","1.5760","Equity","Information Technology","$46,830,812","860,228","54.44","NASDAQ","46,830,812.32"
"EMC","US2686481027","2295172","EMC CORP","1.4741","Equity","Information Technology","$43,802,558","1,633,205","26.82","New York Stock Exchange Inc.","43,802,558.10"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","1.1910","Equity","Information Technology","$35,389,533","497,044","71.20","New York Stock Exchange Inc.","35,389,532.80"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","1.0565","Equity","Information Technology","$31,394,093","500,863","62.68","NASDAQ","31,394,092.84"
"YHOO","US9843321061","2986539","YAHOO! INC","1.0495","Equity","Information Technology","$31,185,554","715,265","43.60","NASDAQ","31,185,554.00"
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","1.0105","Equity","Information Technology","$30,025,085","391,028","76.78","NASDAQ","30,025,084.98"
"AVGO","SG9999006241","B3WS2X9","AVAGO TECHNOLOGIES LTD","0.8716","Equity","Information Technology","$25,900,015","210,895","122.81","NASDAQ","25,900,014.95"
"MU","US5951121038","2588184","MICRON TECHNOLOGY INC","0.8271","Equity","Information Technology","$24,577,148","885,663","27.75","NASDAQ","24,577,148.25"
"INTU","US4612021034","2459020","INTUIT INC","0.7835","Equity","Information Technology","$23,279,961","227,510","102.33","NASDAQ","23,279,960.75"
"GLW","US2193501051","2224701","CORNING INC","0.7497","Equity","Information Technology","$22,277,474","1,045,400","21.31","New York Stock Exchange Inc.","22,277,474.00"
"BRCM","US1113201073","2235822","BROADCOM CORP CLASS A","0.6931","Equity","Information Technology","$20,595,709","448,220","45.95","NASDAQ","20,595,709.00"
"AMAT","US0382221051","2046552","APPLIED MATERIAL INC","0.6775","Equity","Information Technology","$20,131,770","1,010,631","19.92","NASDAQ","20,131,769.52"
"WDC","US9581021055","2954699","WESTERN DIGITAL CORP","0.5757","Equity","Information Technology","$17,105,711","178,101","96.05","NASDAQ","17,105,710.55"
"CERN","US1567821046","2185284","CERNER CORP","0.5748","Equity","Health Care","$17,079,344","250,798","68.10","NASDAQ","17,079,343.80"
"ADI","US0326541051","2032067","ANALOG DEVICES INC","0.5402","Equity","Information Technology","$16,051,062","256,243","62.64","NASDAQ","16,051,061.52"
"TWTR","US90184L1026","BFLR866","TWITTER INC","0.5291","Equity","Information Technology","$15,722,397","421,399","37.31","New York Stock Exchange Inc.","15,722,396.69"
"STX","IE00B58JVZ52","B58JVZ5","SEAGATE TECHNOLOGY PLC","0.5157","Equity","Information Technology","$15,324,803","269,993","56.76","NASDAQ","15,324,802.68"
"SWKS","US83088M1027","2961053","SKYWORKS SOLUTIONS INC","0.5132","Equity","Information Technology","$15,248,485","156,942","97.16","NASDAQ","15,248,484.72"
"SYMC","US8715031089","2861078","SYMANTEC CORP","0.4808","Equity","Information Technology","$14,286,102","561,671","25.43","NASDAQ","14,286,101.88"
"EQIX","US29444U7000","BVLZX12","EQUINIX REIT INC","0.4115","Equity","Information Technology","$12,226,376","46,414","263.42","NASDAQ","12,226,375.88"
"SNDK","US80004C1018","2765802","SANDISK CORP","0.3983","Equity","Information Technology","$11,835,759","174,646","67.77","NASDAQ","11,835,759.42"
"RHT","US7565771026","2447218","RED HAT INC","0.3881","Equity","Information Technology","$11,531,394","150,974","76.38","New York Stock Exchange Inc.","11,531,394.12"
"AKAM","US00971T1016","2507457","AKAMAI TECHNOLOGIES INC","0.3766","Equity","Information Technology","$11,190,809","147,054","76.10","NASDAQ","11,190,809.40"
