iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$2,971,313,443"
Shares Outstanding,"27,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"MSI","US6200763075","B5BKPQ4","MOTOROLA SOLUTIONS INC","0.3181","Equity","Information Technology","$9,498,755","156,771","60.59","New York Stock Exchange Inc.","9,498,754.89"
"XLNX","US9839191015","2985677","XILINX INC","0.3166","Equity","Information Technology","$9,455,573","213,927","44.20","NASDAQ","9,455,573.40"
"QRVO","US74736K1016","BR9YYP4","QUORVO INC","0.3130","Equity","Information Technology","$9,345,373","122,066","76.56","NASDAQ","9,345,372.96"
"LLTC","US5356781063","2516839","LINEAR TECHNOLOGY CORP","0.3065","Equity","Information Technology","$9,153,115","196,672","46.54","NASDAQ","9,153,114.88"
"NTAP","US64110D1046","2630643","NETAPP INC","0.3054","Equity","Information Technology","$9,118,882","255,825","35.65","NASDAQ","9,118,882.12"
"NVDA","US67066G1040","2379504","NVIDIA CORP","0.2956","Equity","Information Technology","$8,825,697","423,803","20.82","NASDAQ","8,825,697.47"
"CTXS","US1773761002","2182553","CITRIX SYSTEMS INC","0.2929","Equity","Information Technology","$8,745,331","131,331","66.59","NASDAQ","8,745,331.29"
"PANW","US6974351057","B87ZMX0","PALO ALTO NETWORKS INC.","0.2773","Equity","Information Technology","$8,281,942","54,811","151.10","New York Stock Exchange Inc.","8,281,942.10"
"CA","US12673P1057","2214832","CA INC","0.2764","Equity","Information Technology","$8,252,435","261,153","31.60","NASDAQ","8,252,434.80"
"MCHP","US5950171042","2592174","MICROCHIP TECHNOLOGY INC","0.2706","Equity","Information Technology","$8,080,589","165,011","48.97","NASDAQ","8,080,588.67"
"JNPR","US48203R1041","2431846","JUNIPER NETWORKS INC","0.2691","Equity","Information Technology","$8,034,779","297,805","26.98","New York Stock Exchange Inc.","8,034,778.90"
"NOW","US81762P1021","B80NXX8","SERVICENOW INC","0.2684","Equity","Information Technology","$8,013,618","108,424","73.91","New York Stock Exchange Inc.","8,013,617.84"
"KLAC","US4824801009","2480138","KLA TENCOR CORP","0.2665","Equity","Information Technology","$7,958,363","133,083","59.80","NASDAQ","7,958,363.40"
"CSC","US2053631048","2215200","COMPUTER SCIENCES CORP","0.2537","Equity","Information Technology","$7,575,895","115,999","65.31","New York Stock Exchange Inc.","7,575,894.69"
"MXIM","US57772K1016","2573760","MAXIM INTEGRATED PRODUCTS INC","0.2529","Equity","Information Technology","$7,552,729","232,106","32.54","NASDAQ","7,552,729.24"
"FFIV","US3156161024","2427599","F5 NETWORKS INC","0.2488","Equity","Information Technology","$7,429,639","58,942","126.05","NASDAQ","7,429,639.10"
"WDAY","US98138H1014","B8K6ZD1","WORKDAY INC CLASS A","0.2338","Equity","Information Technology","$6,980,616","77,987","89.51","New York Stock Exchange Inc.","6,980,616.37"
"DOX","GB0022569080","2256908","AMDOCS LTD","0.2290","Equity","Information Technology","$6,837,850","126,956","53.86","NASDAQ","6,837,850.16"
"SPLK","US8486371045","B424494","SPLUNK INC","0.2289","Equity","Information Technology","$6,835,843","99,706","68.56","NASDAQ","6,835,843.36"
"HRS","US4138751056","2412001","HARRIS CORP","0.2265","Equity","Information Technology","$6,763,812","85,759","78.87","New York Stock Exchange Inc.","6,763,812.33"
"CDK","US12508E1010","BQXTWQ5","CDK GLOBAL INC","0.2240","Equity","Information Technology","$6,690,108","132,294","50.57","NASDAQ","6,690,107.58"
"ANSS","US03662Q1058","2045623","ANSYS INC","0.2135","Equity","Information Technology","$6,375,183","73,540","86.69","NASDAQ","6,375,182.60"
"VMW","US9285634021","B23SN61","VMWARE INC CLASS A","0.2090","Equity","Information Technology","$6,242,016","70,932","88.00","New York Stock Exchange Inc.","6,242,016.00"
"IT","US3666511072","2372763","GARTNER INC.","0.2066","Equity","Information Technology","$6,169,570","72,066","85.61","New York Stock Exchange Inc.","6,169,570.26"
"SNPS","US8716071076","2867719","SYNOPSYS INC","0.2015","Equity","Information Technology","$6,018,419","125,436","47.98","NASDAQ","6,018,419.28"
"SUNE","US86732Y1091","BBC3995","SUNEDISON INC.","0.1976","Equity","Information Technology","$5,901,141","207,203","28.48","New York Stock Exchange Inc.","5,901,141.44"
"VRSN","US92343E1029","2142922","VERISIGN INC","0.1837","Equity","Information Technology","$5,485,240","85,841","63.90","NASDAQ","5,485,239.90"
"RAX","US7500861007","2591524","RACKSPACE HOSTING INC","0.1751","Equity","Information Technology","$5,228,064","96,816","54.00","New York Stock Exchange Inc.","5,228,064.00"
"MRVL","BMG5876H1051","2594653","MARVELL TECHNOLOGY GROUP LTD","0.1657","Equity","Information Technology","$4,948,351","348,721","14.19","NASDAQ","4,948,350.99"
"VNTV","US92210H1059","B6X55Y2","VANTIV INC CLASS A","0.1620","Equity","Information Technology","$4,838,168","119,727","40.41","New York Stock Exchange Inc.","4,838,168.07"
"TDC","US88076W1036","B247H10","TERADATA CORP","0.1620","Equity","Information Technology","$4,836,802","118,375","40.86","New York Stock Exchange Inc.","4,836,802.50"
"BLKFDS","US0669224778","-","BLK CSH FND TREASURY SL AGENCY","0.1589","Money Market","Cash and/or Derivatives","$4,743,971","4,744","1.00","-","4,743,971.08"
"USD","-","-","USD CASH","0.1586","Cash","Cash and/or Derivatives","$4,737,662","4,738","100.00","-","4,737,662.33"
"IACI","US44919P5089","B0F0F09","IAC INTERACTIVE","0.1561","Equity","Information Technology","$4,662,555","63,393","73.55","NASDAQ","4,662,555.15"
"CDNS","US1273871087","2302232","CADENCE DESIGN SYSTEMS INC","0.1544","Equity","Information Technology","$4,610,201","240,365","19.18","NASDAQ","4,610,200.70"
"GRMN","CH0114405324","B3Z5T14","GARMIN LTD","0.1529","Equity","Consumer Discretionary","$4,565,058","99,370","45.94","NASDAQ","4,565,057.80"
"FTNT","US34959E1091","B5B2106","FORTINET INC.","0.1524","Equity","Information Technology","$4,549,502","116,624","39.01","NASDAQ","4,549,502.24"
"ON","US6821891057","2583576","ON SEMICONDUCTOR CORP","0.1470","Equity","Information Technology","$4,388,714","356,806","12.30","NASDAQ","4,388,713.80"
"INFA","US45666Q1022","2412067","INFORMATICA CORP.","0.1455","Equity","Information Technology","$4,343,624","89,986","48.27","NASDAQ","4,343,624.22"
"BRCD","US1116213067","2422174","BROCADE COMMUNICATIONS SYSTEMS INC","0.1424","Equity","Information Technology","$4,251,564","354,002","12.01","NASDAQ","4,251,564.02"
"NCR","US62886E1082","2632650","NCR CORP","0.1294","Equity","Information Technology","$3,862,852","137,959","28.00","New York Stock Exchange Inc.","3,862,852.00"
"ULTI","US90385D1072","2249964","ULTIMATE SOFTWARE GROUP INC.","0.1291","Equity","Information Technology","$3,855,897","23,513","163.99","NASDAQ","3,855,896.87"
"PBI","US7244791007","2690506","PITNEY BOWES INC","0.1246","Equity","Industrials","$3,720,741","164,489","22.62","New York Stock Exchange Inc.","3,720,741.18"
"ARRS","US04270V1061","B9SMM04","ARRIS GROUP INC.","0.1230","Equity","Information Technology","$3,673,427","108,617","33.82","NASDAQ","3,673,426.94"
"TER","US8807701029","2884183","TERADYNE INC.","0.1230","Equity","Information Technology","$3,672,726","179,070","20.51","New York Stock Exchange Inc.","3,672,725.70"
"DATA","US87336U1051","B8DJFL5","TABLEAU SOFTWARE INC CLASS A","0.1213","Equity","Information Technology","$3,621,666","32,719","110.69","New York Stock Exchange Inc.","3,621,666.11"
"PTC","US69370C1009","B95N910","PTC INC","0.1211","Equity","Information Technology","$3,615,194","93,440","38.69","NASDAQ","3,615,193.60"
"ATHN","US04685W1036","B24FJV8","ATHENAHEALTH INC.","0.1209","Equity","Health Care","$3,611,342","31,143","115.96","NASDAQ","3,611,342.28"
"CDW","US12514G1085","BBM5MD6","CDW CORP/DE","0.1195","Equity","Information Technology","$3,568,341","97,230","36.70","NASDAQ","3,568,341.00"
"NUAN","US67020Y1001","2402121","NUANCE COMMUNICATIONS INC","0.1172","Equity","Information Technology","$3,501,224","211,299","16.57","NASDAQ","3,501,224.43"
"IM","US4571531049","2489094","INGRAM MICRO INC. SHS -A-","0.1140","Equity","Information Technology","$3,404,243","127,452","26.71","New York Stock Exchange Inc.","3,404,242.92"
"PAY","US92342Y1091","B07RH68","VERIFONE SYSTEMS INC.","0.1131","Equity","Information Technology","$3,376,863","93,516","36.11","New York Stock Exchange Inc.","3,376,862.76"
"CY","US2328061096","2244549","CYPRESS SEMICONDUCTOR CORP.","0.1127","Equity","Information Technology","$3,365,673","261,310","12.88","NASDAQ","3,365,672.80"
"TYL","US9022521051","2909644","TYLER TECHNOLOGIES INC.","0.1118","Equity","Information Technology","$3,339,361","27,614","120.93","New York Stock Exchange Inc.","3,339,361.02"
"SSNC","US78467J1007","B58YSC6","SS&C TECHNOLOGIES HOLDINGS INC.","0.1101","Equity","Information Technology","$3,286,664","55,359","59.37","NASDAQ","3,286,663.83"
"MANH","US5627501092","2239471","MANHATTAN ASSOCIATES INC.","0.1083","Equity","Information Technology","$3,234,133","61,079","52.95","NASDAQ","3,234,133.05"
"Z","US98954M1018","BVYJBR3","ZILLOW GROUP INC CLASS A","0.1077","Equity","Information Technology","$3,216,512","34,856","92.28","NASDAQ","3,216,511.68"
"VRNT","US92343X1000","2849193","VERINT SYSTEMS INC.","0.1052","Equity","Information Technology","$3,141,263","49,735","63.16","NASDAQ","3,141,262.60"
"AZPN","US0453271035","2051868","ASPEN TECHNOLOGY INC.","0.1023","Equity","Information Technology","$3,053,747","72,934","41.87","NASDAQ","3,053,746.58"
"GWRE","US40171V1008","B7JYSG3","GUIDEWIRE SOFTWARE INC","0.0997","Equity","Information Technology","$2,976,165","57,157","52.07","New York Stock Exchange Inc.","2,976,164.99"
