iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,357,998,439"
Shares Outstanding,"24,400,000"
Stock,"99.82"
Bond,"0.00"
Cash,"0.00"
Other,"0.18"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"AEROMEX*","GRUPO AEROMEXICO","MX01AE010005","B3WBBZ3","0.6256","Industrials","Equity","Mexico","$8,515,893","5,241,436","1.62","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"MEXCHEM*","MEXICHEM SA DE CV","MX01ME050007","2434760","1.7563","Materials","Equity","Mexico","$23,908,739","8,481,774","2.82","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"LABB","GENOMMA LAB INTERNATIONAL","MX01LA010006","B3B1C73","0.5878","Health Care","Equity","Mexico","$8,001,245","8,359,693","0.96","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"FSHOP13","FIBRA SHOP PORTAFOLIOS INMOBILIARI","MXCFFS000005","BCHWML7","0.5588","Financials","Equity","Mexico","$7,606,620","7,108,195","1.07","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"FIBRAPL14","PROLOGIS PROPERTY MEXICO REIT SA","MXCFFI170008","BN56JP1","0.5166","Financials","Equity","Mexico","$7,032,679","4,258,100","1.65","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GFINTERO","INTERACCIONES SA","MXP370661011","2421610","0.4795","Financials","Equity","Mexico","$6,528,131","1,062,200","6.15","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"AC*","ARCA CONTINENTAL","MX01AC100006","2823885","1.5107","Consumer Staples","Equity","Mexico","$20,565,987","3,446,329","5.97","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"AXTELCPO","AXTEL CPO","MX01AX040009","B0T0DH8","0.4674","Telecommunication Services","Equity","Mexico","$6,362,526","17,132,777","0.37","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"CREAL*","CREDITO REAL SOFOM ENR","MX00CR000000","B8DST54","0.4360","Financials","Equity","Mexico","$5,935,838","2,689,774","2.21","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","MXP369181377","2306814","1.4278","Consumer Discretionary","Equity","Mexico","$19,436,907","1,659,995","11.71","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"HCITY*","HOTELES CITY EXPRESS","MX01HC000001","BBL5196","0.4356","Consumer Discretionary","Equity","Mexico","$5,930,130","4,050,400","1.46","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"CULTIBAB","ORGANIZACION CULTIBA","MX01CU000004","B8PQ2P7","0.4317","-","Equity","Mexico","$5,876,870","4,485,600","1.31","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GENTERA*","GENTERA SAB DE CV","MX01GE0E0004","BHWQZW1","1.1972","Financials","Equity","Mexico","$16,297,860","9,462,006","1.72","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"SIMECB","GRUPO SIMEC","MXP4984U1083","2375546","0.4273","Materials","Equity","Mexico","$5,817,402","1,982,154","2.93","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ALSEA*","ALSEA DE CV","MXP001391012","2563017","1.1543","Consumer Discretionary","Equity","Mexico","$15,713,638","4,814,066","3.26","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ICA*","EMPRESAS ICA","MXP371491046","B0MT4R9","0.3661","Industrials","Equity","Mexico","$4,983,307","7,905,688","0.63","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"AGUA*","GRUPO ROTOPLAS SA","MX01AG050009","BTF8HD3","0.3584","Industrials","Equity","Mexico","$4,878,314","2,834,200","1.72","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"KOFL","COCA-COLA FEMSA CLASS L","MXP2861W1067","2141899","0.2727","Consumer Staples","Equity","Mexico","$3,712,759","490,758","7.57","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","US0669224778","-","0.0017","-","Cash","United States","$23,695","23,695","1.00","-","USD","USD","1.00","-"
"TERRA13","TERRAFINA DE CV REIT SA","MXCFTE0B0005","B87Y2V5","0.8741","Financials","Equity","Mexico","$11,898,996","5,964,800","1.99","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"URBI*","URBI DESARROLLO URBANOS","MX01UR000007","B0126X9","0.0000","Consumer Discretionary","Equity","Mexico","$18","29,674,089","0.00","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"FIBRAMQ12","MACQUARIE MEXICO REAL ESTATE MANAG","MXCFFI0U0002","B80RZK1","0.8413","Financials","Equity","Mexico","$11,452,552","7,941,600","1.44","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
