iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"13-May-2015"
Total Net Assets,"$1,811,758,284"
Shares Outstanding,"30,400,000"
Stock,"99.45"
Bond,"0.00"
Cash,"0.04"
Other,"0.52"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"AMXL","MXP001691213","2667470","AMERICA MOVIL L","15.1045","Equity","Telecommunication Services","Mexico","$273,656,413","269,193,818","1.02","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"TLEVISACPO","MXP4987V1378","2380108","GRUPO TELEVISA","7.5168","Equity","Consumer Discretionary","Mexico","$136,185,343","18,799,697","7.24","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"FEMSAUBD","MXP320321310","2242059","FOMENTO ECONOMICO MEXICANO","7.4323","Equity","Consumer Staples","Mexico","$134,655,399","14,230,810","9.46","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"GFNORTEO","MXP370711014","2421041","GPO FINANCE BANORTE","5.4589","Equity","Financials","Mexico","$98,902,135","17,011,078","5.81","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"WALMEX*","MX01WA000038","BW1YVH8","WALMART DE MEXICO V","4.7961","Equity","Consumer Staples","Mexico","$86,893,616","35,120,233","2.47","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"CEMEXCPO","MXP225611567","2406457","CEMEX CPO","4.7270","Equity","Materials","Mexico","$85,642,382","84,958,804","1.01","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"GMEXICOB","MXP370841019","2643674","GRUPO MEXICO B","4.6353","Equity","Materials","Mexico","$83,981,235","25,711,386","3.27","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"ALFAA","MXP000511016","2043423","ALFA A","3.1730","Equity","Industrials","Mexico","$57,486,870","27,373,451","2.10","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"FUNO11","MXCFFU000001","B671GT8","FIBRA UNO ADMINISTRACION REIT SA","3.1158","Equity","Financials","Mexico","$56,450,683","21,954,100","2.57","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
"GFINBURO","MXP370641013","2822398","GRUPO FINANCIERO INBURSA SRIES O O","2.9833","Equity","Financials","Mexico","$54,049,905","22,379,892","2.42","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.24","-"
