iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$1,801,517,140"
Shares Outstanding,"30,400,000"
Stock,"99.32"
Bond,"0.00"
Cash,"0.04"
Other,"0.64"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"LALAB","MX01LA040003","BFNXZM7","GRUPO LALA","0.9088","Equity","-","Mexico","$16,372,190","7,706,300","2.12","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FIBRAMQ12","MXCFFI0U0002","B80RZK1","MACQUARIE MEXICO REAL ESTATE MANAG","0.8322","Equity","Financials","Mexico","$14,993,016","9,847,300","1.52","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"OMAB","MX01OM000018","B1KFX13","GRUPO AEROPORTUARIO DEL CENTRO NOR","0.8203","Equity","Industrials","Mexico","$14,778,668","2,875,092","5.14","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"TERRA13","MXCFTE0B0005","B87Y2V5","TERRAFINA DE CV REIT SA","0.8161","Equity","Financials","Mexico","$14,702,222","7,429,400","1.98","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"OHLMEX*","MX01OH010006","B3NWLD3","OHL MEXICO","0.8124","Equity","Industrials","Mexico","$14,636,012","9,164,800","1.60","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GFREGIOO","MX01GF0X0008","B6QL9F6","BANREGIO GRUPO FINANCIERO","0.7675","Equity","Financials","Mexico","$13,826,029","2,450,700","5.64","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"CHDRAUIB","MX01CH170002","B457NQ0","GRUPO COMERCIAL CHEDRAUI","0.7626","Equity","Consumer Staples","Mexico","$13,738,783","4,492,500","3.06","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"VESTA*","MX01VE0M0003","B8F6ZF8","CORPORACION INMOBILIARIA VESTA","0.7119","Equity","Financials","Mexico","$12,825,691","6,953,749","1.84","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"LABB","MX01LA010006","B3B1C73","GENOMMA LAB INTERNATIONAL","0.6218","Equity","Health Care","Mexico","$11,201,164","10,097,793","1.11","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"AEROMEX*","MX01AE010005","B3WBBZ3","GRUPO AEROMEXICO","0.6111","Equity","Industrials","Mexico","$11,009,273","6,525,636","1.69","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"BOLSAA","MX01BM1B0000","B39VVF6","BOLSA MEXICANA DE VALORES","0.6020","Equity","Financials","Mexico","$10,844,597","6,022,487","1.80","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"VOLARA","MX01VO000009","BDZDPH6","CONTROLADORA VUELA COMPANIA DE AVI","0.5827","Equity","Industrials","Mexico","$10,497,157","8,330,500","1.26","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"HERDEZ*","MX01HE010008","2962959","GRUPO HERDEZ","0.5605","Equity","Consumer Staples","Mexico","$10,096,753","3,760,844","2.68","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FSHOP13","MXCFFS000005","BCHWML7","FIBRA SHOP PORTAFOLIOS INMOBILIARI","0.5538","Equity","Financials","Mexico","$9,977,392","8,895,095","1.12","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"BACHOCOB","MX01BA1D0003","B1FJ6T9","INDUSTRIAS BACHOCO B","0.5514","Equity","-","Mexico","$9,934,132","2,122,700","4.68","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"ICHB","MXP524131127","2454810","INDUSTRIAS CH","0.5445","Equity","Materials","Mexico","$9,809,854","2,386,083","4.11","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FIHO12","MXCFFI0T0005","B8HLNQ8","FIBRA HOTEL REIT SA","0.5098","Equity","Financials","Mexico","$9,183,236","7,001,200","1.31","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"ICA*","MXP371491046","B0MT4R9","EMPRESAS ICA","0.4995","Equity","Industrials","Mexico","$8,997,941","9,858,088","0.91","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"FIBRAPL14","MXCFFI170008","BN56JP1","PROLOGIS PROPERTY MEXICO REIT SA","0.4901","Equity","Financials","Mexico","$8,829,676","5,113,000","1.73","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"MFRISCOA.1","MX01MF010000","B3QHKH2","MINERA FRISCO","0.4472","Equity","Materials","Mexico","$8,055,512","9,340,003","0.86","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"HCITY*","MX01HC000001","BBL5196","HOTELES CITY EXPRESS","0.4280","Equity","Consumer Discretionary","Mexico","$7,709,824","5,048,600","1.53","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"QCCPO","MX01QC000000","B8JTW41","QUALITAS CONTROLADORA","0.4263","Equity","Financials","Mexico","$7,680,364","4,062,000","1.89","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"CULTIBAB","MX01CU000004","B8PQ2P7","ORGANIZACION CULTIBA","0.4172","Equity","-","Mexico","$7,515,772","5,590,800","1.34","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GFINTERO","MXP370661011","2421610","INTERACCIONES SA","0.4047","Equity","Financials","Mexico","$7,290,025","1,153,600","6.32","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"SIMECB","MXP4984U1083","2375546","GRUPO SIMEC","0.3943","Equity","Materials","Mexico","$7,103,929","2,471,754","2.87","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"ARA*","MXP001161019","B1TV969","CONSORCIO ARA","0.3804","Equity","Consumer Discretionary","Mexico","$6,852,375","16,399,019","0.42","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"CREAL*","MX00CR000000","B8DST54","CREDITO REAL SOFOM ENR","0.3798","Equity","Financials","Mexico","$6,842,292","2,786,474","2.46","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"AZTECACPO","MX01AZ060013","2096911","TV AZTECA","0.3278","Equity","Consumer Discretionary","Mexico","$5,905,299","20,417,139","0.29","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"AXTELCPO","MX01AX040009","B0T0DH8","AXTEL CPO","0.3266","Equity","Telecommunication Services","Mexico","$5,884,117","21,356,277","0.28","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"GFAMSAA","MX01GF010008","B15F749","GRUPO FAMSA A","0.3158","Equity","Consumer Discretionary","Mexico","$5,688,432","8,089,721","0.70","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"KOFL","MXP2861W1067","2141899","COCA-COLA FEMSA CLASS L","0.2729","Equity","Consumer Staples","Mexico","$4,916,772","611,558","8.04","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"PAPPEL*","MX01PA0B0014","B0ZNPL9","BIO PAPEL","0.2643","Equity","Materials","Mexico","$4,760,830","3,298,000","1.44","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"BLKFDS","US0669224778","-","BLK CSH FND TREASURY SL AGENCY","0.0388","Cash","-","United States","$698,243","698,243","1.00","-","USD","USD","1.00","-"
"GEOB","MXP3142C1177","2229342","CORPORACION GEO B","0.0000","Equity","Consumer Discretionary","Mexico","$10","15,588,128","0.00","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
"URBI*","MX01UR000007","B0126X9","URBI DESARROLLO URBANOS","0.0000","Equity","Consumer Discretionary","Mexico","$19","29,674,089","0.00","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.32","-"
 
