iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$1,839,950,321"
Shares Outstanding,"30,800,000"
Stock,"99.43"
Bond,"0.00"
Cash,"0.10"
Other,"0.47"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"AMXL","MXP001691213","2667470","AMERICA MOVIL L","15.3360","Equity","Telecommunication Services","Mexico","$283,443,619","272,416,818","1.04","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"TLEVISACPO","MXP4987V1378","2380108","GRUPO TELEVISA","7.5059","Equity","Consumer Discretionary","Mexico","$138,725,128","19,024,497","7.29","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"FEMSAUBD","MXP320321310","2242059","FOMENTO ECONOMICO MEXICANO","7.4378","Equity","Consumer Staples","Mexico","$137,466,380","14,400,810","9.55","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"GFNORTEO","MXP370711014","2421041","GPO FINANCE BANORTE","5.5547","Equity","Financials","Mexico","$102,663,324","17,214,478","5.96","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"WALMEX*","MX01WA000038","BW1YVH8","WALMART DE MEXICO V","4.7552","Equity","Consumer Staples","Mexico","$87,886,743","35,540,433","2.47","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"CEMEXCPO","MXP225611567","2406457","CEMEX CPO","4.6867","Equity","Materials","Mexico","$86,621,148","85,977,304","1.01","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"GMEXICOB","MXP370841019","2643674","GRUPO MEXICO B","4.5300","Equity","Materials","Mexico","$83,723,853","26,019,286","3.22","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"FUNO11","MXCFFU000001","B671GT8","FIBRA UNO ADMINISTRACION REIT SA","3.1050","Equity","Financials","Mexico","$57,387,626","22,217,000","2.58","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"ALFAA","MXP000511016","2043423","ALFA A","3.0972","Equity","Industrials","Mexico","$57,243,597","27,701,551","2.07","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"GFINBURO","MXP370641013","2822398","GRUPO FINANCIERO INBURSA SRIES O O","3.0367","Equity","Financials","Mexico","$56,125,001","22,647,992","2.48","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"BIMBOA","MXP495211262","2392471","GRUPO BIMBO A","2.4475","Equity","Consumer Staples","Mexico","$45,235,922","16,363,204","2.76","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
"SANMEXB","MXP690491412","2374521","GRUPO FINANCIERO SANTANDER MEXICO","2.0235","Equity","Financials","Mexico","$37,398,160","18,487,450","2.02","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","-"
