iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$25,688,896,345"
Shares Outstanding,"169,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SNPS","US8716071076","2867719","SYNOPSYS INC","0.4518","Equity","Information Technology","$116,137,509","2,420,540","47.98","NASDAQ","116,137,509.20"
"RJF","US7547301090","2718992","RAYMOND JAMES FINANCIAL INC.","0.4513","Equity","Financials","$116,003,636","2,001,443","57.96","New York Stock Exchange Inc.","116,003,636.28"
"SUNE","US86732Y1091","BBC3995","SUNEDISON INC.","0.4399","Equity","Information Technology","$113,071,609","3,970,211","28.48","New York Stock Exchange Inc.","113,071,609.28"
"ALB","US0126531013","2046853","ALBEMARLE CORP.","0.4341","Equity","Materials","$111,588,688","1,766,762","63.16","New York Stock Exchange Inc.","111,588,687.92"
"FBHS","US34964C1062","B3MC7D6","FORTUNE BRANDS HOME & SECURITY INC","0.4335","Equity","Industrials","$111,437,767","2,499,165","44.59","New York Stock Exchange Inc.","111,437,767.35"
"MSCI","US55354G1004","B2972D2","MSCI INC","0.4276","Equity","Financials","$109,919,857","1,770,046","62.10","New York Stock Exchange Inc.","109,919,856.60"
"SBNY","US82669G1040","B00JQL9","SIGNATURE BANK","0.4256","Equity","Financials","$109,409,538","792,593","138.04","NASDAQ","109,409,537.72"
"DRE","US2644115055","2284084","DUKE REALTY REIT CORP","0.4236","Equity","Financials","$108,868,892","5,424,459","20.07","New York Stock Exchange Inc.","108,868,892.13"
"PKG","US6951561090","2504566","PACKAGING CORP. OF AMERICA","0.4212","Equity","Materials","$108,257,136","1,548,300","69.92","New York Stock Exchange Inc.","108,257,136.00"
"GPN","US37940X1028","2712013","GLOBAL PAYMENTS INC.","0.4187","Equity","Information Technology","$107,623,281","1,056,373","101.88","New York Stock Exchange Inc.","107,623,281.24"
"MD","US58502B1061","2677640","MEDNAX INC.","0.4162","Equity","Health Care","$106,989,456","1,513,502","70.69","New York Stock Exchange Inc.","106,989,456.38"
"ARE","US0152711091","2009210","ALEXANDRIA REAL ESTATE EQUITIES IN","0.4130","Equity","Financials","$106,166,701","1,133,533","93.66","New York Stock Exchange Inc.","106,166,700.78"
"SIVB","US78486Q1013","2808053","SVB FINANCIAL GROUP","0.4106","Equity","Financials","$105,544,239","802,862","131.46","NASDAQ","105,544,238.52"
"LNT","US0188021085","2973821","ALLIANT ENERGY CORP","0.4092","Equity","Utilities","$105,195,038","1,745,686","60.26","New York Stock Exchange Inc.","105,195,038.36"
"MAN","US56418H1005","2562490","MANPOWERGROUP","0.4061","Equity","Industrials","$104,382,966","1,232,239","84.71","New York Stock Exchange Inc.","104,382,965.69"
"TRMB","US8962391004","2903958","TRIMBLE NAVIGATION LTD","0.4049","Equity","Information Technology","$104,067,768","4,082,690","25.49","NASDAQ","104,067,768.10"
