iShares U.S. Technology ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$3,047,119,468"
Shares Outstanding,"27,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"AAPL","US0378331005","2046251","APPLE INC","20.6121","Equity","Information Technology","$628,082,406","4,828,803","130.07","NASDAQ","628,082,406.21"
"MSFT","US5949181045","2588173","MICROSOFT CORP","10.6195","Equity","Information Technology","$323,592,627","6,801,022","47.58","NASDAQ","323,592,626.76"
"FB","US30303M1027","B7TL820","FACEBOOK CLASS A INC","4.6049","Equity","Information Technology","$140,318,293","1,740,274","80.63","NASDAQ","140,318,292.62"
"IBM","US4592001014","2005973","INTERNATIONAL BUSINESS MACHINES CO","4.3385","Equity","Information Technology","$132,199,393","762,044","173.48","New York Stock Exchange Inc.","132,199,393.12"
"INTC","US4581401001","2463247","INTEL CORPORATION CORP","4.2712","Equity","Information Technology","$130,150,944","3,926,122","33.15","NASDAQ","130,150,944.30"
"GOOGL","US38259P5089","B020QX2","GOOGLE INC CLASS A","4.2674","Equity","Information Technology","$130,032,702","236,733","549.28","NASDAQ","130,032,702.24"
"GOOG","US38259P7069","BKM4JZ7","GOOGLE INC CLASS C","4.1949","Equity","Information Technology","$127,826,122","237,878","537.36","NASDAQ","127,826,122.08"
"CSCO","US17275R1023","2198163","CISCO SYSTEMS INC","4.1295","Equity","Information Technology","$125,832,632","4,231,802","29.73","NASDAQ","125,832,632.47"
"ORCL","US68389X1054","2661568","ORACLE CORP","3.8653","Equity","Information Technology","$117,780,577","2,657,504","44.32","New York Stock Exchange Inc.","117,780,577.28"
"QCOM","US7475251036","2714923","QUALCOMM INC","3.1243","Equity","Information Technology","$95,202,704","1,367,462","69.62","NASDAQ","95,202,704.44"
"EBAY","US2786421030","2293819","EBAY INC","1.7749","Equity","Information Technology","$54,083,874","912,808","59.25","NASDAQ","54,083,874.00"
"HPQ","US4282361033","2424006","HEWLETT PACKARD","1.6515","Equity","Information Technology","$50,323,179","1,506,682","33.40","New York Stock Exchange Inc.","50,323,178.80"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","1.5890","Equity","Information Technology","$48,418,881","868,033","55.78","NASDAQ","48,418,880.74"
"EMC","US2686481027","2295172","EMC CORP","1.4527","Equity","Information Technology","$44,265,952","1,648,025","26.86","New York Stock Exchange Inc.","44,265,951.50"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","1.1765","Equity","Information Technology","$35,851,080","501,554","71.48","New York Stock Exchange Inc.","35,851,079.92"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","1.0786","Equity","Information Technology","$32,866,682","505,408","65.03","NASDAQ","32,866,682.24"
"ADBE","US00724F1012","2008154","ADOBE SYSTEM INC","1.0310","Equity","Information Technology","$31,416,300","394,578","79.62","NASDAQ","31,416,300.36"
"YHOO","US9843321061","2986539","YAHOO! INC","0.9707","Equity","Information Technology","$29,577,520","721,755","40.98","NASDAQ","29,577,519.90"
"AVGO","SG9999006241","B3WS2X9","AVAGO TECHNOLOGIES LTD","0.9042","Equity","Information Technology","$27,552,511","212,810","129.47","NASDAQ","27,552,510.70"
"INTU","US4612021034","2459020","INTUIT INC","0.7780","Equity","Information Technology","$23,708,210","229,575","103.27","NASDAQ","23,708,210.25"
"MU","US5951121038","2588184","MICRON TECHNOLOGY INC","0.7716","Equity","Information Technology","$23,513,194","893,698","26.31","NASDAQ","23,513,194.38"
"GLW","US2193501051","2224701","CORNING INC","0.7440","Equity","Information Technology","$22,669,479","1,054,885","21.49","New York Stock Exchange Inc.","22,669,478.65"
"BRCM","US1113201073","2235822","BROADCOM CORP CLASS A","0.7018","Equity","Information Technology","$21,384,035","452,285","47.28","NASDAQ","21,384,034.80"
"AMAT","US0382221051","2046552","APPLIED MATERIAL INC","0.6690","Equity","Information Technology","$20,385,822","1,019,801","19.99","NASDAQ","20,385,821.99"
"CERN","US1567821046","2185284","CERNER CORP","0.5689","Equity","Health Care","$17,335,500","253,073","68.50","NASDAQ","17,335,500.50"
"WDC","US9581021055","2954699","WESTERN DIGITAL CORP","0.5638","Equity","Information Technology","$17,179,052","179,716","95.59","NASDAQ","17,179,052.44"
"SWKS","US83088M1027","2961053","SKYWORKS SOLUTIONS INC","0.5405","Equity","Information Technology","$16,468,584","158,367","103.99","NASDAQ","16,468,584.33"
"ADI","US0326541051","2032067","ANALOG DEVICES INC","0.5384","Equity","Information Technology","$16,406,140","258,568","63.45","NASDAQ","16,406,139.60"
"TWTR","US90184L1026","BFLR866","TWITTER INC","0.5233","Equity","Information Technology","$15,945,900","425,224","37.50","New York Stock Exchange Inc.","15,945,900.00"
"STX","IE00B58JVZ52","B58JVZ5","SEAGATE TECHNOLOGY PLC","0.4931","Equity","Information Technology","$15,025,231","272,443","55.15","NASDAQ","15,025,231.45"
"SYMC","US8715031089","2861078","SYMANTEC CORP","0.4669","Equity","Information Technology","$14,225,827","566,766","25.10","NASDAQ","14,225,826.60"
"EQIX","US29444U7000","BVLZX12","EQUINIX REIT INC","0.4053","Equity","Information Technology","$12,349,189","46,834","263.68","NASDAQ","12,349,189.12"
