iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$2,923,457,080"
Shares Outstanding,"65,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA OR","ES0113211835","5501906","0.7551","Financials","Equity","Spain","$22,147,467","2,202,444","10.06","Bolsa De Madrid","USD","EUR","0.92","22,147,466.54"
"INGA","ING GROEP NV","NL0000303600","7154182","0.7521","Financials","Equity","Netherlands","$22,059,974","1,347,554","16.37","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","22,059,974.08"
"PRU","PRUDENTIAL PLC","GB0007099541","0709954","0.7247","Financials","Equity","United Kingdom","$21,255,538","890,146","23.88","London Stock Exchange","USD","GBP","0.64","21,255,538.19"
"BT.A","BT GROUP PLC","GB0030913577","3091357","0.7244","Telecommunications","Equity","United Kingdom","$21,249,142","2,912,017","7.30","London Stock Exchange","USD","GBP","0.64","21,249,141.95"
"BG","BG GROUP PLC","GB0008762899","0876289","0.6947","Energy","Equity","United Kingdom","$20,375,471","1,185,233","17.19","London Stock Exchange","USD","GBP","0.64","20,375,471.47"
"DTE","DEUTSCHE TELEKOM AG","DE0005557508","5842359","0.6875","Telecommunications","Equity","Germany","$20,164,281","1,073,243","18.79","Xetra","USD","EUR","0.92","20,164,281.06"
"ULVR","UNILEVER PLC","GB00B10RZP78","B10RZP7","0.6610","Consumer Staples","Equity","United Kingdom","$19,386,916","419,660","46.20","London Stock Exchange","USD","GBP","0.64","19,386,915.52"
"ISP","INTESA SANPAOLO","IT0000072618","4076836","0.6330","Financials","Equity","Italy","$18,565,294","4,943,544","3.76","Borsa Italiana S.P.A.","USD","EUR","0.92","18,565,293.61"
"SAB","SABMILLER PLC","GB0004835483","0483548","0.6300","Consumer Staples","Equity","United Kingdom","$18,478,734","343,887","53.73","London Stock Exchange","USD","GBP","0.64","18,478,733.90"
"MC","LVMH MOET HENNESSY LOUIS VUITTON S","FR0000121014","4061412","0.6238","Consumer Discretionary","Equity","France","$18,297,894","95,893","190.82","Nyse Euronext - Euronext Paris","USD","EUR","0.92","18,297,893.76"
"CS","AXA SA","FR0000120628","7088429","0.6140","Financials","Equity","France","$18,010,403","673,476","26.74","Nyse Euronext - Euronext Paris","USD","EUR","0.92","18,010,402.63"
"NG.","NATIONAL GRID PLC","GB00B08SNH34","B08SNH3","0.6120","Utilities","Equity","United Kingdom","$17,951,694","1,345,145","13.35","London Stock Exchange","USD","GBP","0.64","17,951,694.07"
"SHP","SHIRE PLC","JE00B2QKY057","B2QKY05","0.6070","Health Care","Equity","United Kingdom","$17,803,889","208,549","85.37","London Stock Exchange","USD","GBP","0.64","17,803,888.61"
"IMT","IMPERIAL TOBACCO GROUP PLC","GB0004544929","0454492","0.6027","Consumer Staples","Equity","United Kingdom","$17,678,309","336,018","52.61","London Stock Exchange","USD","GBP","0.64","17,678,309.19"
"OR","LOREAL SA","FR0000120321","4057808","0.5925","Consumer Staples","Equity","France","$17,378,152","89,845","193.42","Nyse Euronext - Euronext Paris","USD","EUR","0.92","17,378,152.33"
"RIO","RIO TINTO PLC","GB0007188757","0718875","0.5892","Materials","Equity","United Kingdom","$17,280,727","431,253","40.07","London Stock Exchange","USD","GBP","0.64","17,280,727.10"
