iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,970,539,105"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"BARC","GB0031348658","3134865","BARCLAYS PLC","0.7184","Equity","Financials","United Kingdom","$21,433,518","5,281,222","4.06","London Stock Exchange","USD","GBP","0.64","21,433,518.39"
"INGA","NL0000303600","7154182","ING GROEP NV","0.7150","Equity","Financials","Netherlands","$21,332,760","1,333,562","16.00","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","21,332,760.27"
"BT.A","GB0030913577","3091357","BT GROUP PLC","0.7097","Equity","Telecommunications","United Kingdom","$21,174,918","2,895,159","7.31","London Stock Exchange","USD","GBP","0.64","21,174,917.89"
"RB.","GB00B24CGK77","B24CGK7","RECKITT BENCKISER GROUP PLC","0.6858","Equity","Consumer Staples","United Kingdom","$20,463,351","226,763","90.24","London Stock Exchange","USD","GBP","0.64","20,463,351.29"
"RIO","GB0007188757","0718875","RIO TINTO PLC","0.6782","Equity","Materials","United Kingdom","$20,236,556","429,183","47.15","London Stock Exchange","USD","GBP","0.64","20,236,555.70"
"DTE","DE0005557508","5842359","DEUTSCHE TELEKOM AG","0.6718","Equity","Telecommunications","Germany","$20,045,350","1,066,161","18.80","Xetra","USD","EUR","0.90","20,045,350.34"
"SAB","GB0004835483","0483548","SABMILLER PLC","0.6391","Equity","Consumer Staples","United Kingdom","$19,067,767","340,697","55.97","London Stock Exchange","USD","GBP","0.64","19,067,766.77"
"NG.","GB00B08SNH34","B08SNH3","NATIONAL GRID PLC","0.6293","Equity","Utilities","United Kingdom","$18,775,513","1,332,453","14.09","London Stock Exchange","USD","GBP","0.64","18,775,512.94"
"ULVR","GB00B10RZP78","B10RZP7","UNILEVER PLC","0.6218","Equity","Consumer Staples","United Kingdom","$18,553,523","417,608","44.43","London Stock Exchange","USD","GBP","0.64","18,553,522.68"
"GLEN","JE00B4T3BW64","B4T3BW6","GLENCORE PLC","0.6104","Equity","Materials","United Kingdom","$18,210,986","3,824,376","4.76","London Stock Exchange","USD","GBP","0.64","18,210,986.30"
"BLT","GB0000566504","0056650","BHP BILLITON PLC","0.5989","Equity","Materials","United Kingdom","$17,868,714","730,448","24.46","London Stock Exchange","USD","GBP","0.64","17,868,714.22"
"ENI","IT0003132476","7145056","ENI","0.5939","Equity","Energy","Italy","$17,719,793","930,331","19.05","Borsa Italiana S.P.A.","USD","EUR","0.90","17,719,793.14"
"ISP","IT0000072618","4076836","INTESA SANPAOLO","0.5908","Equity","Financials","Italy","$17,628,395","4,930,784","3.58","Borsa Italiana S.P.A.","USD","EUR","0.90","17,628,395.47"
"IMT","GB0004544929","0454492","IMPERIAL TOBACCO GROUP PLC","0.5741","Equity","Consumer Staples","United Kingdom","$17,129,403","337,966","50.68","London Stock Exchange","USD","GBP","0.64","17,129,403.01"
"SHP","JE00B2QKY057","B2QKY05","SHIRE PLC","0.5659","Equity","Health Care","United Kingdom","$16,886,131","206,887","81.62","London Stock Exchange","USD","GBP","0.64","16,886,130.90"
"ZURN","CH0011075394","5983816","ZURICH INSURANCE GROUP AG","0.5621","Equity","Financials","Switzerland","$16,772,034","52,636","318.64","Six Swiss Exchange Ag","USD","CHF","0.93","16,772,034.49"
"OR","FR0000120321","4057808","LOREAL SA","0.5621","Equity","Consumer Staples","France","$16,771,174","88,389","189.74","Nyse Euronext - Euronext Paris","USD","EUR","0.90","16,771,173.92"
"MC","FR0000121014","4061412","LVMH MOET HENNESSY LOUIS VUITTON S","0.5588","Equity","Consumer Discretionary","France","$16,674,298","94,427","176.58","Nyse Euronext - Euronext Paris","USD","EUR","0.90","16,674,297.60"
"ASML","NL0010273215","B929F46","ASML HOLDING NV","0.5531","Equity","Information Technology","Netherlands","$16,504,139","151,763","108.75","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","16,504,139.44"
"CS","FR0000120628","7088429","AXA SA","0.5524","Equity","Financials","France","$16,480,670","661,988","24.90","Nyse Euronext - Euronext Paris","USD","EUR","0.90","16,480,670.37"
"ABBN","CH0012221716","7108899","ABB LTD","0.5448","Equity","Industrials","Switzerland","$16,255,415","741,058","21.94","Six Swiss Exchange Ag","USD","CHF","0.93","16,255,414.60"
"CFR","CH0210483332","BCRWZ18","COMPAGNIE FINANCIERE RICHEMONT SA","0.5338","Equity","Consumer Discretionary","Switzerland","$15,925,477","180,996","87.99","Six Swiss Exchange Ag","USD","CHF","0.93","15,925,476.78"
"AI","FR0000120073","B1YXBJ7","AIR LIQUIDE SA","0.5320","Equity","Materials","France","$15,874,449","119,775","132.54","Nyse Euronext - Euronext Paris","USD","EUR","0.90","15,874,448.80"
"DBK","DE0005140008","5750355","DEUTSCHE BANK AG","0.5185","Equity","Financials","Germany","$15,469,915","477,128","32.42","Xetra","USD","EUR","0.90","15,469,914.58"
"SU","FR0000121972","4834108","SCHNEIDER ELECTRIC SE","0.5135","Equity","Industrials","France","$15,320,051","202,031","75.83","Nyse Euronext - Euronext Paris","USD","EUR","0.90","15,320,051.14"
"AIR","NL0000235190","4012250","AIRBUS GROUP NV","0.4916","Equity","Industrials","France","$14,668,077","211,845","69.24","Nyse Euronext - Euronext Paris","USD","EUR","0.90","14,668,076.51"
"BN","FR0000120644","B1Y9TB3","DANONE SA","0.4868","Equity","Consumer Staples","France","$14,523,930","207,029","70.15","Nyse Euronext - Euronext Paris","USD","EUR","0.90","14,523,930.37"
"SYNN","CH0011037469","4356646","SYNGENTA AG","0.4820","Equity","Materials","Switzerland","$14,380,925","33,317","431.64","Six Swiss Exchange Ag","USD","CHF","0.93","14,380,925.40"
"NDA SEK","SE0000427361","5380031","NORDEA BANK","0.4784","Equity","Financials","Sweden","$14,275,087","1,102,674","12.95","Nasdaq Omx Nordic","USD","SEK","8.29","14,275,087.35"
