iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"12-May-2015"
Total Net Assets,"$2,992,444,446"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"NOVN","CH0012005267","7103065","NOVARTIS AG","3.2291","Equity","Health Care","Switzerland","$95,918,689","936,130","102.46","Six Swiss Exchange Ag","USD","CHF","0.93","95,918,689.10"
"NESN","CH0038863350","7123870","NESTLE SA","2.9136","Equity","Consumer Staples","Switzerland","$86,547,892","1,115,841","77.56","Six Swiss Exchange Ag","USD","CHF","0.93","86,547,892.19"
"ROG","CH0012032048","7110388","ROCHE HOLDING AG","2.3538","Equity","Health Care","Switzerland","$69,920,838","244,248","286.27","Six Swiss Exchange Ag","USD","CHF","0.93","69,920,838.28"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.1570","Equity","Financials","United Kingdom","$64,074,774","6,597,913","9.71","London Stock Exchange","USD","GBP","0.64","64,074,774.37"
"BP","GB0007980591","0798059","BP PLC","1.5148","Equity","Energy","United Kingdom","$44,995,486","6,298,943","7.14","London Stock Exchange","USD","GBP","0.64","44,995,486.29"
"FP","FR0000120271","B15C557","TOTAL SA","1.4646","Equity","Energy","France","$43,505,209","823,400","52.84","Nyse Euronext - Euronext Paris","USD","EUR","0.89","43,505,209.33"
"RDSA","GB00B03MLX29","B03MLX2","ROYAL DUTCH SHELL PLC CLASS A","1.4462","Equity","Energy","United Kingdom","$42,959,571","1,348,736","31.85","London Stock Exchange","USD","GBP","0.64","42,959,571.20"
"BAYN","DE000BAY0017","5069211","BAYER AG","1.4118","Equity","Health Care","Germany","$41,938,327","285,748","146.77","Xetra","USD","EUR","0.89","41,938,326.71"
"SAN","FR0000120578","5671735","SANOFI SA","1.3978","Equity","Health Care","France","$41,520,240","416,263","99.74","Nyse Euronext - Euronext Paris","USD","EUR","0.89","41,520,239.73"
"GSK","GB0009252882","0925288","GLAXOSMITHKLINE PLC","1.2837","Equity","Health Care","United Kingdom","$38,131,651","1,684,142","22.64","London Stock Exchange","USD","GBP","0.64","38,131,651.40"
"NOVO B","DK0060534915","BHC8X90","NOVO NORDISK CLASS B","1.2818","Equity","Health Care","Denmark","$38,076,697","678,484","56.12","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.64","38,076,696.92"
