iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$2,983,671,689"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"NOVN","CH0012005267","7103065","NOVARTIS AG","3.2283","Equity","Health Care","Switzerland","$96,539,983","936,130","103.13","Six Swiss Exchange Ag","USD","CHF","0.93","96,539,983.29"
"NESN","CH0038863350","7123870","NESTLE SA","2.9187","Equity","Consumer Staples","Switzerland","$87,282,226","1,115,841","78.22","Six Swiss Exchange Ag","USD","CHF","0.93","87,282,225.93"
"ROG","CH0012032048","7110388","ROCHE HOLDING AG","2.3433","Equity","Health Care","Switzerland","$70,074,817","244,248","286.90","Six Swiss Exchange Ag","USD","CHF","0.93","70,074,817.04"
"HSBA","GB0005405286","0540528","HSBC HOLDINGS PLC","2.1817","Equity","Financials","United Kingdom","$65,242,317","6,597,913","9.89","London Stock Exchange","USD","GBP","0.65","65,242,317.30"
"BP","GB0007980591","0798059","BP PLC","1.4987","Equity","Energy","United Kingdom","$44,817,554","6,298,943","7.12","London Stock Exchange","USD","GBP","0.65","44,817,553.91"
"FP","FR0000120271","B15C557","TOTAL SA","1.4827","Equity","Energy","France","$44,339,102","823,400","53.85","Nyse Euronext - Euronext Paris","USD","EUR","0.89","44,339,101.92"
"RDSA","GB00B03MLX29","B03MLX2","ROYAL DUTCH SHELL PLC CLASS A","1.4414","Equity","Energy","United Kingdom","$43,103,617","1,348,736","31.96","London Stock Exchange","USD","GBP","0.65","43,103,617.22"
"SAN","FR0000120578","5671735","SANOFI SA","1.4318","Equity","Health Care","France","$42,817,822","416,263","102.86","Nyse Euronext - Euronext Paris","USD","EUR","0.89","42,817,822.24"
"BAYN","DE000BAY0017","5069211","BAYER AG","1.4230","Equity","Health Care","Germany","$42,555,189","285,748","148.93","Xetra","USD","EUR","0.89","42,555,188.78"
"GSK","GB0009252882","0925288","GLAXOSMITHKLINE PLC","1.2843","Equity","Health Care","United Kingdom","$38,405,821","1,684,142","22.80","London Stock Exchange","USD","GBP","0.65","38,405,820.88"
"NOVO B","DK0060534915","BHC8X90","NOVO NORDISK CLASS B","1.2725","Equity","Health Care","Denmark","$38,054,792","678,484","56.09","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.65","38,054,792.19"
"SAN","ES0113900J37","5705946","BANCO SANTANDER SA","1.2385","Equity","Financials","Spain","$37,035,711","4,854,863","7.63","Bolsa De Madrid","USD","EUR","0.89","37,035,710.78"
"BATS","GB0002875804","0287580","BRITISH AMERICAN TOBACCO PLC","1.2114","Equity","Consumer Staples","United Kingdom","$36,226,615","645,252","56.14","London Stock Exchange","USD","GBP","0.65","36,226,615.33"
"ABI","BE0003793107","4755317","ANHEUSER BUSCH INBEV SA","1.1626","Equity","Consumer Staples","Belgium","$34,765,950","282,754","122.96","Nyse Euronext - Euronext Brussels","USD","EUR","0.89","34,765,950.21"
"DAI","DE0007100000","5529027","DAIMLER AG","1.1394","Equity","Consumer Discretionary","Germany","$34,072,626","344,860","98.80","Xetra","USD","EUR","0.89","34,072,626.49"
"VOD","GB00BH4HKS39","BH4HKS3","VODAFONE GROUP PLC","1.1034","Equity","Telecommunications","United Kingdom","$32,996,399","9,169,693","3.60","London Stock Exchange","USD","GBP","0.65","32,996,399.35"
"BAS","DE000BASF111","5086577","BASF SE","1.0515","Equity","Materials","Germany","$31,444,177","317,248","99.12","Xetra","USD","EUR","0.89","31,444,177.49"
"AZN","GB0009895292","0989529","ASTRAZENECA PLC","1.0100","Equity","Health Care","United Kingdom","$30,203,070","432,080","69.90","London Stock Exchange","USD","GBP","0.65","30,203,069.50"
"SIE","DE0007236101","5727973","SIEMENS AG","0.9983","Equity","Industrials","Germany","$29,854,155","274,035","108.94","Xetra","USD","EUR","0.89","29,854,154.86"
"RDSB","GB00B03MM408","B03MM40","ROYAL DUTCH SHELL PLC CLASS B","0.9181","Equity","Energy","United Kingdom","$27,454,699","849,236","32.33","London Stock Exchange","USD","GBP","0.65","27,454,699.27"
"ALV","DE0008404005","5231485","ALLIANZ SE","0.8978","Equity","Financials","Germany","$26,849,797","158,500","169.40","Xetra","USD","EUR","0.89","26,849,796.98"
"UBSG","CH0244767585","BRJL176","UBS GROUP REGISTERED AG","0.8894","Equity","Financials","Switzerland","$26,596,276","1,245,232","21.36","Six Swiss Exchange Ag","USD","CHF","0.93","26,596,275.92"
"UNA","NL0000009355","B12T3J1","UNILEVER DRC NV","0.8763","Equity","Consumer Staples","Netherlands","$26,205,070","592,487","44.23","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.89","26,205,069.75"
"SAP","DE0007164600","4846288","SAP","0.8325","Equity","Information Technology","Germany","$24,895,307","326,727","76.20","Xetra","USD","EUR","0.89","24,895,307.48"
"LLOY","GB0008706128","0870612","LLOYDS BANKING GROUP PLC","0.8174","Equity","Financials","United Kingdom","$24,442,848","18,246,727","1.34","London Stock Exchange","USD","GBP","0.65","24,442,848.37"
"DGE","GB0002374006","0237400","DIAGEO PLC","0.8012","Equity","Consumer Staples","United Kingdom","$23,960,893","867,382","27.62","London Stock Exchange","USD","GBP","0.65","23,960,893.44"
"TEF","ES0178430E18","5732524","TELEFONICA SA","0.7868","Equity","Telecommunications","Spain","$23,530,556","1,522,670","15.45","Bolsa De Madrid","USD","EUR","0.89","23,530,556.10"
"BNP","FR0000131104","7309681","BNP PARIBAS SA","0.7800","Equity","Financials","France","$23,324,805","362,156","64.41","Nyse Euronext - Euronext Paris","USD","EUR","0.89","23,324,805.12"
"PRU","GB0007099541","0709954","PRUDENTIAL PLC","0.7517","Equity","Financials","United Kingdom","$22,480,283","884,666","25.41","London Stock Exchange","USD","GBP","0.65","22,480,283.11"
"BBVA","ES0113211835","5501906","BANCO BILBAO VIZCAYA ARGENTARIA OR","0.7447","Equity","Financials","Spain","$22,270,023","2,174,040","10.24","Bolsa De Madrid","USD","EUR","0.89","22,270,022.99"
"BG","GB0008762899","0876289","BG GROUP PLC","0.7225","Equity","Energy","United Kingdom","$21,606,133","1,176,659","18.36","London Stock Exchange","USD","GBP","0.65","21,606,132.61"
"INGA","NL0000303600","7154182","ING GROEP NV","0.7134","Equity","Financials","Netherlands","$21,333,766","1,333,562","16.00","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.89","21,333,766.11"
"BARC","GB0031348658","3134865","BARCLAYS PLC","0.7029","Equity","Financials","United Kingdom","$21,020,125","5,281,222","3.98","London Stock Exchange","USD","GBP","0.65","21,020,125.46"
"BT.A","GB0030913577","3091357","BT GROUP PLC","0.7013","Equity","Telecommunications","United Kingdom","$20,972,189","2,895,159","7.24","London Stock Exchange","USD","GBP","0.65","20,972,189.01"
"RB.","GB00B24CGK77","B24CGK7","RECKITT BENCKISER GROUP PLC","0.6836","Equity","Consumer Staples","United Kingdom","$20,443,428","226,763","90.15","London Stock Exchange","USD","GBP","0.65","20,443,428.23"
"DTE","DE0005557508","5842359","DEUTSCHE TELEKOM AG","0.6769","Equity","Telecommunications","Germany","$20,243,531","1,066,161","18.99","Xetra","USD","EUR","0.89","20,243,530.75"
"RIO","GB0007188757","0718875","RIO TINTO PLC","0.6638","Equity","Materials","United Kingdom","$19,849,226","429,183","46.25","London Stock Exchange","USD","GBP","0.65","19,849,226.20"
"SAB","GB0004835483","0483548","SABMILLER PLC","0.6324","Equity","Consumer Staples","United Kingdom","$18,912,423","340,697","55.51","London Stock Exchange","USD","GBP","0.65","18,912,422.99"
"ULVR","GB00B10RZP78","B10RZP7","UNILEVER PLC","0.6233","Equity","Consumer Staples","United Kingdom","$18,640,792","417,608","44.64","London Stock Exchange","USD","GBP","0.65","18,640,791.68"
"NG.","GB00B08SNH34","B08SNH3","NATIONAL GRID PLC","0.6226","Equity","Utilities","United Kingdom","$18,617,835","1,332,453","13.97","London Stock Exchange","USD","GBP","0.65","18,617,834.92"
"ENI","IT0003132476","7145056","ENI","0.6013","Equity","Energy","Italy","$17,982,810","930,331","19.33","Borsa Italiana S.P.A.","USD","EUR","0.89","17,982,810.27"
"GLEN","JE00B4T3BW64","B4T3BW6","GLENCORE PLC","0.5969","Equity","Materials","United Kingdom","$17,849,519","3,824,376","4.67","London Stock Exchange","USD","GBP","0.65","17,849,519.28"
"BLT","GB0000566504","0056650","BHP BILLITON PLC","0.5879","Equity","Materials","United Kingdom","$17,581,264","730,448","24.07","London Stock Exchange","USD","GBP","0.65","17,581,263.94"
"CS","FR0000120628","7088429","AXA SA","0.5822","Equity","Financials","France","$17,411,458","661,988","26.30","Nyse Euronext - Euronext Paris","USD","EUR","0.89","17,411,458.27"
"ISP","IT0000072618","4076836","INTESA SANPAOLO","0.5819","Equity","Financials","Italy","$17,402,414","4,930,784","3.53","Borsa Italiana S.P.A.","USD","EUR","0.89","17,402,413.70"
"OR","FR0000120321","4057808","LOREAL SA","0.5751","Equity","Consumer Staples","France","$17,199,163","88,389","194.59","Nyse Euronext - Euronext Paris","USD","EUR","0.89","17,199,163.18"
"IMT","GB0004544929","0454492","IMPERIAL TOBACCO GROUP PLC","0.5747","Equity","Consumer Staples","United Kingdom","$17,186,561","337,966","50.85","London Stock Exchange","USD","GBP","0.65","17,186,560.66"
"MC","FR0000121014","4061412","LVMH MOET HENNESSY LOUIS VUITTON S","0.5696","Equity","Consumer Discretionary","France","$17,034,015","94,427","180.39","Nyse Euronext - Euronext Paris","USD","EUR","0.89","17,034,015.14"
"SHP","JE00B2QKY057","B2QKY05","SHIRE PLC","0.5688","Equity","Health Care","United Kingdom","$17,008,164","206,887","82.21","London Stock Exchange","USD","GBP","0.65","17,008,163.72"
"ZURN","CH0011075394","5983816","ZURICH INSURANCE GROUP AG","0.5602","Equity","Financials","Switzerland","$16,752,719","52,636","318.27","Six Swiss Exchange Ag","USD","CHF","0.93","16,752,719.35"
"ASML","NL0010273215","B929F46","ASML HOLDING NV","0.5486","Equity","Information Technology","Netherlands","$16,404,100","151,763","108.09","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.89","16,404,100.23"
"ABBN","CH0012221716","7108899","ABB LTD","0.5448","Equity","Industrials","Switzerland","$16,291,291","741,058","21.98","Six Swiss Exchange Ag","USD","CHF","0.93","16,291,291.23"
"AI","FR0000120073","B1YXBJ7","AIR LIQUIDE SA","0.5419","Equity","Materials","France","$16,204,972","119,775","135.30","Nyse Euronext - Euronext Paris","USD","EUR","0.89","16,204,971.80"
"CFR","CH0210483332","BCRWZ18","COMPAGNIE FINANCIERE RICHEMONT SA","0.5374","Equity","Consumer Discretionary","Switzerland","$16,070,103","180,996","88.79","Six Swiss Exchange Ag","USD","CHF","0.93","16,070,103.07"
"SU","FR0000121972","4834108","SCHNEIDER ELECTRIC SE","0.5191","Equity","Industrials","France","$15,523,154","202,031","76.84","Nyse Euronext - Euronext Paris","USD","EUR","0.89","15,523,154.21"
"DBK","DE0005140008","5750355","DEUTSCHE BANK AG","0.5167","Equity","Financials","Germany","$15,450,454","477,128","32.38","Xetra","USD","EUR","0.89","15,450,454.44"
"AIR","NL0000235190","4012250","AIRBUS GROUP NV","0.5038","Equity","Industrials","France","$15,067,537","211,845","71.13","Nyse Euronext - Euronext Paris","USD","EUR","0.89","15,067,537.06"
