iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$2,084,605,273"
Shares Outstanding,"46,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"MUR","US6267171022","2611206","MURPHY OIL CORP","0.4213","Equity","Energy","$8,744,650","203,743","42.92","New York Stock Exchange Inc.","8,744,649.56"
"USD","-","-","USD CASH","0.4149","Cash","Cash and/or Derivatives","$8,611,604","8,612","100.00","-","8,611,603.67"
"WLL","US9663871021","2168003","WHITING PETROLEUM CORP","0.4002","Equity","Energy","$8,307,650","249,779","33.26","New York Stock Exchange Inc.","8,307,649.54"
"RIG","CH0048265513","B3KFWW1","TRANSOCEAN LTD","0.3803","Equity","Energy","$7,892,791","416,067","18.97","New York Stock Exchange Inc.","7,892,790.99"
"DRC","US2616081038","B0G0V77","DRESSER-RAND GROUP INC.","0.3800","Equity","Energy","$7,887,369","93,552","84.31","New York Stock Exchange Inc.","7,887,369.12"
"OGE","US6708371033","2657802","OGE ENERGY CORP.","0.3737","Equity","Utilities","$7,757,218","243,861","31.81","New York Stock Exchange Inc.","7,757,218.41"
"NFX","US6512901082","2635079","NEWFIELD EXPLORATION","0.3495","Equity","Energy","$7,254,586","196,229","36.97","New York Stock Exchange Inc.","7,254,586.13"
"ESV","GB00B4VLR192","B4VLR19","ENSCO PLC CLASS A","0.3403","Equity","Energy","$7,062,723","286,404","24.66","New York Stock Exchange Inc.","7,062,722.64"
"CLB","NL0000200384","2182531","CORE LABORATORIES NV","0.3140","Equity","Energy","$6,517,039","52,838","123.34","New York Stock Exchange Inc.","6,517,038.92"
"OII","US6752321025","2655583","OCEANEERING INTERNATIONAL INC","0.3048","Equity","Energy","$6,325,897","121,535","52.05","New York Stock Exchange Inc.","6,325,896.75"
"EGN","US29265N1081","2012672","ENERGEN CORP.","0.2946","Equity","Energy","$6,115,902","88,881","68.81","New York Stock Exchange Inc.","6,115,901.61"
"FANG","US25278X1090","B7Y8YR3","DIAMONDBACK ENERGY INC","0.2873","Equity","Energy","$5,964,028","76,985","77.47","NASDAQ","5,964,027.95"
"TRGP","US87612G1013","B55PZY3","TARGA RESOURCES CORP.","0.2836","Equity","Energy","$5,887,016","59,071","99.66","New York Stock Exchange Inc.","5,887,015.86"
"NBR","BMG6359F1032","2963372","NABORS INDUSTRIES LTD","0.2540","Equity","Energy","$5,271,564","352,849","14.94","New York Stock Exchange Inc.","5,271,564.06"
"GPOR","US4026353049","2398684","GULFPORT ENERGY CORP.","0.2510","Equity","Energy","$5,210,283","116,275","44.81","NASDAQ","5,210,282.75"
"FSLR","US3364331070","B1HMF22","FIRST SOLAR INC","0.2444","Equity","Information Technology","$5,072,106","91,753","55.28","NASDAQ","5,072,105.84"
"NE","GB00BFG3KF26","BFG3KF2","NOBLE CORP PLC","0.2369","Equity","Energy","$4,917,674","295,711","16.63","New York Stock Exchange Inc.","4,917,673.93"
"CLR","US2120151012","B1XGWS3","CONTINENTAL RESOURCES INC","0.2283","Equity","Energy","$4,737,852","104,450","45.36","New York Stock Exchange Inc.","4,737,852.00"
"SM","US78454L1008","2764188","SM ENERGY CO.","0.2167","Equity","Energy","$4,497,471","82,477","54.53","New York Stock Exchange Inc.","4,497,470.81"
"INT","US9814751064","2469450","WORLD FUEL SERVICES CORP.","0.2156","Equity","Energy","$4,474,881","87,967","50.87","New York Stock Exchange Inc.","4,474,881.29"
"SEMG","US81663A1051","B547XN5","SEMGROUP CORP. CL A","0.2076","Equity","Energy","$4,309,276","52,920","81.43","New York Stock Exchange Inc.","4,309,275.60"
"SPN","US8681571084","2806109","SUPERIOR ENERGY SERVICES INC.","0.2026","Equity","Energy","$4,205,833","185,770","22.64","New York Stock Exchange Inc.","4,205,832.80"
"WNR","US9593191045","B0WHXR6","WESTERN REFINING INC.","0.1908","Equity","Energy","$3,960,741","86,178","45.96","New York Stock Exchange Inc.","3,960,740.88"
"QEP","US74733V1008","B60X657","QEP RESOURCES INC","0.1873","Equity","Energy","$3,887,508","197,536","19.68","New York Stock Exchange Inc.","3,887,508.48"
"SCTY","US83416T1007","B8BZJC4","SOLARCITY CORP","0.1837","Equity","Industrials","$3,813,315","62,177","61.33","NASDAQ","3,813,315.41"
"PTEN","US7034811015","2672537","PATTERSON UTI ENERGY INC","0.1764","Equity","Energy","$3,662,468","178,657","20.50","NASDAQ","3,662,468.50"
"CIE","US19075F1066","B4XH005","COBALT INTERNATIONAL ENERGY INC","0.1756","Equity","Energy","$3,645,915","362,417","10.06","New York Stock Exchange Inc.","3,645,915.02"
"DRQ","US2620371045","2116767","DRIL QUIP INC","0.1737","Equity","Energy","$3,604,688","47,256","76.28","New York Stock Exchange Inc.","3,604,687.68"
"RDC","GB00B6SLMV12","B840261","ROWAN COMPANIES CLASS A PLC","0.1603","Equity","Energy","$3,326,764","151,561","21.95","New York Stock Exchange Inc.","3,326,763.95"
"WPX","US98212B1035","B40PCD9","WPX ENERGY INC","0.1580","Equity","Energy","$3,280,322","249,644","13.14","New York Stock Exchange Inc.","3,280,322.16"
"DNR","US2479162081","2418474","DENBURY RESOURCES INC","0.1503","Equity","Energy","$3,119,147","432,614","7.21","New York Stock Exchange Inc.","3,119,146.94"
"CRC","US13057Q1076","BRJ3H52","CALIFORNIA RESOURCES CORP","0.1424","Equity","Energy","$2,956,174","375,149","7.88","New York Stock Exchange Inc.","2,956,174.12"
"PBF","US69318G1067","B7F4TJ7","PBF ENERGY INC CLASS A","0.1389","Equity","Energy","$2,883,841","104,487","27.60","New York Stock Exchange Inc.","2,883,841.20"
"AR","US03674X1063","BFD2WR8","ANTERO RESOURCES CORP","0.1386","Equity","Energy","$2,877,084","69,968","41.12","New York Stock Exchange Inc.","2,877,084.16"
"CRZO","US1445771033","2092801","CARRIZO OIL & GAS INC.","0.1384","Equity","Energy","$2,872,468","57,050","50.35","NASDAQ","2,872,467.50"
"UPL","CA9039141093","2714440","ULTRA PETROLEUM CORP","0.1331","Equity","Energy","$2,761,818","185,981","14.85","New York Stock Exchange Inc.","2,761,817.85"
"TK","MHY8564W1030","2933795","TEEKAY CORP","0.1276","Equity","Energy","$2,648,772","56,634","46.77","New York Stock Exchange Inc.","2,648,772.18"
"OAS","US6742151086","B64R5J2","OASIS PETROLEUM INC.","0.1275","Equity","Energy","$2,645,566","164,423","16.09","New York Stock Exchange Inc.","2,645,566.07"
"EXH","US30225X1037","B241SX1","EXTERRAN HOLDINGS INC.","0.1265","Equity","Energy","$2,625,688","83,861","31.31","New York Stock Exchange Inc.","2,625,687.91"
"OIS","US6780261052","2724472","OIL STATES INTERNATIONAL INC.","0.1261","Equity","Energy","$2,618,098","62,739","41.73","New York Stock Exchange Inc.","2,618,098.47"
"DO","US25271C1027","2261021","DIAMOND OFFSHORE DRILLING INC","0.1257","Equity","Energy","$2,609,120","82,022","31.81","New York Stock Exchange Inc.","2,609,119.82"
"BRS","US1103941035","2656229","BRISTOW GROUP INC.","0.1222","Equity","Energy","$2,535,583","42,622","59.49","New York Stock Exchange Inc.","2,535,582.78"
"ATW","US0500951084","2062440","ATWOOD OCEANICS INC.","0.1118","Equity","Energy","$2,319,871","73,344","31.63","New York Stock Exchange Inc.","2,319,870.72"
"ROSE","US7777793073","B0YV6N3","ROSETTA RESOURCES INC.","0.1024","Equity","Energy","$2,125,093","89,553","23.73","NASDAQ","2,125,092.69"
"SLCA","US90346E1038","B7GGNT0","US SILICA HOLDINGS INC","0.0986","Equity","Energy","$2,046,527","64,784","31.59","New York Stock Exchange Inc.","2,046,526.56"
"LPI","US5168061068","B7DX5X2","LAREDO PETROLEUM INC","0.0980","Equity","Energy","$2,034,779","151,510","13.43","New York Stock Exchange Inc.","2,034,779.30"
"HLX","US42330P1075","2037062","HELIX ENERGY SOLUTIONS GROUP INC.","0.0937","Equity","Energy","$1,944,779","119,974","16.21","New York Stock Exchange Inc.","1,944,778.54"
"UNT","US9092181091","2925833","UNIT CORP.","0.0912","Equity","Energy","$1,893,904","56,249","33.67","New York Stock Exchange Inc.","1,893,903.83"
"BLKFDS","US0669224778","-","BLK CSH FND TREASURY SL AGENCY","0.0881","Money Market","Cash and/or Derivatives","$1,828,735","1,829","1.00","-","1,828,734.64"
"FET","US34984V1008","B4K4F48","FORUM ENERGY TECHNOLOGIES INC","0.0791","Equity","Energy","$1,642,344","79,417","20.68","New York Stock Exchange Inc.","1,642,343.56"
"TDW","US8864231027","2891859","TIDEWATER INC.","0.0733","Equity","Energy","$1,521,866","57,213","26.60","New York Stock Exchange Inc.","1,521,865.80"
"CKH","US8119041015","2797838","SEACOR HOLDINGS INC.","0.0731","Equity","Energy","$1,518,140","21,097","71.96","New York Stock Exchange Inc.","1,518,140.12"
"GTLS","US16115Q3083","B19HNF4","CHART INDUSTRIES INC.","0.0643","Equity","Industrials","$1,333,975","37,024","36.03","NASDAQ","1,333,974.72"
"MDR","PA5800371096","2550310","MCDERMOTT INTERNATIONAL INC","0.0639","Equity","Energy","$1,325,665","288,188","4.60","New York Stock Exchange Inc.","1,325,664.80"
"CRR","US1407811058","2238821","CARBO CERAMICS INC.","0.0457","Equity","Energy","$948,095","23,966","39.56","New York Stock Exchange Inc.","948,094.96"
"SGY","US8616421066","2850281","STONE ENERGY CORP.","0.0452","Equity","Energy","$938,830","68,378","13.73","New York Stock Exchange Inc.","938,829.94"
"SD","US80007P3073","B28M896","SANDRIDGE ENERGY INC.","0.0255","Equity","Energy","$529,016","472,336","1.12","New York Stock Exchange Inc.","529,016.32"
"EXXI","BMG100821401","B1YBPT9","ENERGY XXI (BERMUDA) LTD.","0.0187","Equity","Energy","$388,805","114,019","3.41","NASDAQ","388,804.79"
 
