iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$16,327,099,445"
Shares Outstanding,"139,950,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"SKX","US8305661055","2428042","SKECHERS USA INC. CL A","0.5852","Equity","Consumer Discretionary","$95,439,037","961,215","99.29","New York Stock Exchange Inc.","95,439,037.35"
"MANH","US5627501092","2239471","MANHATTAN ASSOCIATES INC.","0.5633","Equity","Information Technology","$91,858,878","1,734,823","52.95","NASDAQ","91,858,877.85"
"WST","US9553061055","2950482","WEST PHARMACEUTICAL SERVICES INC.","0.5536","Equity","Health Care","$90,290,560","1,671,119","54.03","New York Stock Exchange Inc.","90,290,559.57"
"TTC","US8910921084","2897040","TORO CO.","0.5392","Equity","Industrials","$87,941,381","1,300,908","67.60","New York Stock Exchange Inc.","87,941,380.80"
"PRXL","US6994621075","2671318","PAREXEL INTERNATIONAL CORP.","0.5070","Equity","Health Care","$82,675,557","1,280,402","64.57","NASDAQ","82,675,557.14"
"JACK","US4663671091","2344922","JACK IN THE BOX INC.","0.5041","Equity","Consumer Discretionary","$82,212,024","890,608","92.31","NASDAQ","82,212,024.48"
"CW","US2315611010","2241205","CURTISS-WRIGHT CORP.","0.4865","Equity","Industrials","$79,346,058","1,117,865","70.98","New York Stock Exchange Inc.","79,346,057.70"
"EPR","US26884U1097","B8XXZP1","EPR PROPERTIES","0.4823","Equity","Financials","$78,650,361","1,334,414","58.94","New York Stock Exchange Inc.","78,650,361.16"
"CBRL","US22410J1060","2231091","CRACKER BARREL OLD COUNTRY STORE I","0.4696","Equity","Consumer Discretionary","$76,577,880","559,698","136.82","NASDAQ","76,577,880.36"
"MSCC","US5951371005","2588140","MICROSEMI CORP.","0.4612","Equity","Information Technology","$75,212,881","2,224,575","33.81","NASDAQ","75,212,880.75"
"SSS","US84610H1086","2832212","SOVRAN SELF STORAGE INC.","0.4588","Equity","Financials","$74,828,949","831,710","89.97","New York Stock Exchange Inc.","74,828,948.70"
"CASY","US1475281036","2179414","CASEYS GENERAL STORES INC.","0.4587","Equity","Consumer Staples","$74,812,135","908,907","82.31","NASDAQ","74,812,135.17"
"SYNA","US87157D1090","2839268","SYNAPTICS INC.","0.4534","Equity","Information Technology","$73,944,465","858,721","86.11","NASDAQ","73,944,465.31"
"MKTX","US57060D1081","B03Q9D0","MARKETAXESS HOLDINGS INC.","0.4534","Equity","Financials","$73,938,247","873,252","84.67","NASDAQ","73,938,246.84"
"PPS","US7374641071","2705262","POST PROPERTIES INC.","0.4510","Equity","Financials","$73,551,917","1,276,943","57.60","New York Stock Exchange Inc.","73,551,916.80"
"AMSG","US03232P4054","2781381","AMSURG CORP.","0.4506","Equity","Health Care","$73,490,530","1,109,626","66.23","NASDAQ","73,490,529.98"
"WWW","US9780971035","2977500","WOLVERINE WORLD WIDE INC.","0.4491","Equity","Consumer Discretionary","$73,236,678","2,411,481","30.37","New York Stock Exchange Inc.","73,236,677.97"
"JCOM","US48123V1026","B75DGJ3","J2 GLOBAL INC","0.4379","Equity","Information Technology","$71,417,366","1,071,850","66.63","NASDAQ","71,417,365.50"
"ENS","US29275Y1029","B020GQ5","ENERSYS INC.","0.4346","Equity","Industrials","$70,871,441","1,033,262","68.59","New York Stock Exchange Inc.","70,871,440.58"
"IPXL","US45256B1017","2373722","IMPAX LABORATORIES INC.","0.4292","Equity","Health Care","$69,996,826","1,551,692","45.11","NASDAQ","69,996,826.12"
"MDSO","US58471A1051","B5424Q0","MEDIDATA SOLUTIONS INC.","0.4226","Equity","Health Care","$68,915,350","1,272,440","54.16","NASDAQ","68,915,350.40"
"POOL","US73278L1052","2781585","POOL CORP.","0.4147","Equity","Consumer Discretionary","$67,627,790","1,020,027","66.30","NASDAQ","67,627,790.10"
"MPW","US58463J3041","B0JL5L9","MEDICAL PROPERTIES TRUST REIT INC","0.4125","Equity","Financials","$67,268,365","4,881,594","13.78","New York Stock Exchange Inc.","67,268,365.32"
"PNY","US7201861058","2688147","PIEDMONT NATURAL GAS CO.","0.4124","Equity","Utilities","$67,255,520","1,842,617","36.50","New York Stock Exchange Inc.","67,255,520.50"
"EME","US29084Q1004","2474164","EMCOR GROUP INC.","0.4112","Equity","Industrials","$67,054,966","1,473,088","45.52","New York Stock Exchange Inc.","67,054,965.76"
"OZRK","US0639041062","2085856","BANK OF THE OZARKS INC.","0.4071","Equity","Financials","$66,397,570","1,642,691","40.42","NASDAQ","66,397,570.22"
"PRAA","US69354N1063","BSHZ3P9","PRA GROUP INC","0.4014","Equity","Financials","$65,468,913","1,133,759","57.74","NASDAQ","65,468,913.45"
"UIL","US9027481020","2613785","UIL HOLDINGS CORP.","0.3960","Equity","Utilities","$64,586,025","1,322,671","48.83","New York Stock Exchange Inc.","64,586,024.93"
"DRH","US2527843013","B090B96","DIAMONDROCK HOSPITALITY CO.","0.3950","Equity","Financials","$64,425,788","4,688,922","13.74","New York Stock Exchange Inc.","64,425,788.28"
"GEO","US36162J1060","BNLYWQ1","GEO GROUP REIT INC","0.3917","Equity","Financials","$63,883,461","1,735,492","36.81","New York Stock Exchange Inc.","63,883,460.52"
"MOG.A","US6153942023","2601218","MOOG INC. CL A","0.3856","Equity","Industrials","$62,885,942","932,196","67.46","New York Stock Exchange Inc.","62,885,942.16"
"VSAT","US92552V1008","2946243","VIASAT INC.","0.3835","Equity","Information Technology","$62,543,727","1,024,803","61.03","NASDAQ","62,543,727.09"
"MW","US5871181005","2576327","MENS WEARHOUSE INC.","0.3829","Equity","Consumer Discretionary","$62,443,674","1,068,692","58.43","New York Stock Exchange Inc.","62,443,673.56"
"PVTB","US7429621037","2486578","PRIVATEBANCORP INC.","0.3809","Equity","Financials","$62,125,442","1,651,394","37.62","NASDAQ","62,125,442.28"
"NJR","US6460251068","2630513","NEW JERSEY RESOURCES CORP.","0.3628","Equity","Utilities","$59,161,922","1,997,364","29.62","New York Stock Exchange Inc.","59,161,921.68"
"HR","US4219461047","2417921","HEALTHCARE REALTY TRUST REIT INC","0.3605","Equity","Financials","$58,795,608","2,324,856","25.29","New York Stock Exchange Inc.","58,795,608.24"
"ABMD","US0036541003","2003698","ABIOMED INC.","0.3578","Equity","Health Care","$58,342,959","866,008","67.37","NASDAQ","58,342,958.96"
"SUSQ","US8690991018","2858876","SUSQUEHANNA BANCSHARES INC.","0.3571","Equity","Financials","$58,232,340","4,256,750","13.68","NASDAQ","58,232,340.00"
"SWX","US8448951025","2831888","SOUTHWEST GAS CORP.","0.3566","Equity","Utilities","$58,149,748","1,090,785","53.31","New York Stock Exchange Inc.","58,149,748.35"
"PRA","US74267C1062","2612737","PROASSURANCE CORP.","0.3529","Equity","Financials","$57,550,016","1,305,285","44.09","New York Stock Exchange Inc.","57,550,015.65"
