iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,204,139,587"
Shares Outstanding,"31,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"OGE","OGE ENERGY CORP.","US6708371033","2657802","0.4104","Utilities","Equity","$4,854,550","164,561","29.50","New York Stock Exchange Inc.","4,854,549.50"
"NFX","NEWFIELD EXPLORATION","US6512901082","2635079","0.3694","Energy","Equity","$4,369,349","134,235","32.55","New York Stock Exchange Inc.","4,369,349.25"
"MUR","MURPHY OIL CORP","US6267171022","2611206","0.3693","Energy","Equity","$4,368,301","138,019","31.65","New York Stock Exchange Inc.","4,368,301.35"
"CLB","CORE LABORATORIES NV","NL0000200384","2182531","0.3287","Energy","Equity","$3,888,434","35,459","109.66","New York Stock Exchange Inc.","3,888,433.94"
"FANG","DIAMONDBACK ENERGY INC","US25278X1090","B7Y8YR3","0.3014","Energy","Equity","$3,565,564","52,151","68.37","NASDAQ","3,565,563.87"
"RIG","TRANSOCEAN LTD","CH0048265513","B3KFWW1","0.2938","Energy","Equity","$3,475,117","281,614","12.34","New York Stock Exchange Inc.","3,475,116.76"
"EGN","ENERGEN CORP.","US29265N1081","2012672","0.2884","Energy","Equity","$3,411,502","64,981","52.50","New York Stock Exchange Inc.","3,411,502.50"
"OII","OCEANEERING INTERNATIONAL INC","US6752321025","2655583","0.2838","Energy","Equity","$3,357,674","81,735","41.08","New York Stock Exchange Inc.","3,357,673.80"
"FSLR","FIRST SOLAR INC","US3364331070","B1HMF22","0.2746","Information Technology","Equity","$3,248,323","62,564","51.92","NASDAQ","3,248,322.88"
"TRGP","TARGA RESOURCES CORP.","US87612G1013","B55PZY3","0.2657","Energy","Equity","$3,143,096","39,958","78.66","New York Stock Exchange Inc.","3,143,096.28"
"ESV","ENSCO PLC CLASS A","GB00B4VLR192","B4VLR19","0.2637","Energy","Equity","$3,119,211","193,140","16.15","New York Stock Exchange Inc.","3,119,211.00"
"CHK","CHESAPEAKE ENERGY CORP","US1651671075","2182779","0.2536","Energy","Equity","$3,000,130","426,761","7.03","New York Stock Exchange Inc.","3,000,129.83"
"WLL","WHITING PETROLEUM CORP","US9663871021","2168003","0.2520","Energy","Equity","$2,981,069","168,422","17.70","New York Stock Exchange Inc.","2,981,069.40"
"GPOR","GULFPORT ENERGY CORP.","US4026353049","2398684","0.2400","Energy","Equity","$2,838,906","88,247","32.17","NASDAQ","2,838,905.99"
"NBR","NABORS INDUSTRIES LTD","BMG6359F1032","2963372","0.2287","Energy","Equity","$2,705,489","241,346","11.21","New York Stock Exchange Inc.","2,705,488.66"
"WNR","WESTERN REFINING INC.","US9593191045","B0WHXR6","0.2239","Energy","Equity","$2,648,615","58,520","45.26","New York Stock Exchange Inc.","2,648,615.20"
