iShares Russell 2000 ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"19-May-2015"
Total Net Assets,"$29,518,502,231"
Shares Outstanding,"236,450,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"QRVO","US74736K1016","BR9YYP4","QUORVO INC","0.6313","Equity","Information Technology","$180,679,327","2,255,672","80.10","NASDAQ","180,679,327.20"
"ISIS","US4643301090","2459785","ISIS PHARMACEUTICALS INC.","0.4153","Equity","Health Care","$118,864,974","1,851,191","64.21","NASDAQ","118,864,974.11"
"JBLU","US4771431016","2852760","JETBLUE AIRWAYS CORP.","0.3140","Equity","Industrials","$89,859,494","4,131,471","21.75","NASDAQ","89,859,494.25"
"DXCM","US2521311074","B0796X4","DEXCOM INC.","0.2877","Equity","Health Care","$82,329,937","1,179,681","69.79","NASDAQ","82,329,936.99"
"ODP","US6762201068","2655981","OFFICE DEPOT INC","0.2720","Equity","Consumer Discretionary","$77,831,717","8,423,346","9.24","NASDAQ","77,831,717.04"
"GEVA","US87159A1034","B5VY9M0","SYNAGEVA BIOPHARMA CORP.","0.2709","Equity","Health Care","$77,521,896","365,428","212.14","NASDAQ","77,521,895.92"
"BC","US1170431092","2149309","BRUNSWICK CORP","0.2702","Equity","Consumer Discretionary","$77,342,080","1,460,111","52.97","New York Stock Exchange Inc.","77,342,079.67"
"GPK","US3886891015","B2Q8249","GRAPHIC PACKAGING HOLDING CO.","0.2673","Equity","Materials","$76,507,691","5,148,566","14.86","New York Stock Exchange Inc.","76,507,690.76"
"ULTI","US90385D1072","2249964","ULTIMATE SOFTWARE GROUP INC.","0.2626","Equity","Information Technology","$75,150,592","446,448","168.33","NASDAQ","75,150,591.84"
"WEX","US96208T1043","B8383P2","WEX INC.","0.2504","Equity","Information Technology","$71,667,873","610,199","117.45","New York Stock Exchange Inc.","71,667,872.55"
"CY","US2328061096","2244549","CYPRESS SEMICONDUCTOR CORP.","0.2486","Equity","Information Technology","$71,150,787","5,208,696","13.66","NASDAQ","71,150,787.36"
"MMS","US5779331041","2018669","MAXIMUS INC.","0.2464","Equity","Information Technology","$70,522,449","1,066,099","66.15","New York Stock Exchange Inc.","70,522,448.85"
"PBYI","US74587V1070","B7F2TY6","PUMA BIOTECHNOLOGY INC","0.2459","Equity","Health Care","$70,385,741","387,544","181.62","New York Stock Exchange Inc.","70,385,741.28"
"ISBC","US46146L1017","BMHT4M3","INVESTORS BANCORP INC","0.2407","Equity","Financials","$68,876,586","5,640,998","12.21","NASDAQ","68,876,585.58"
"CGNX","US1924221039","2208288","COGNEX CORP.","0.2330","Equity","Information Technology","$66,694,584","1,367,533","48.77","NASDAQ","66,694,584.41"
"TMH","US87817A1079","B51NDL4","TEAM HEALTH HOLDINGS INC.","0.2330","Equity","Health Care","$66,696,262","1,106,074","60.30","New York Stock Exchange Inc.","66,696,262.20"
"MANH","US5627501092","2239471","MANHATTAN ASSOCIATES INC.","0.2329","Equity","Information Technology","$66,647,497","1,193,544","55.84","NASDAQ","66,647,496.96"
"BLUE","US09609G1004","BBFL7S1","BLUEBIRD BIO INC","0.2317","Equity","Health Care","$66,304,281","388,813","170.53","NASDAQ","66,304,280.89"
"LHO","US5179421087","2240161","LASALLE HOTEL PROPERTIES","0.2293","Equity","Financials","$65,612,247","1,758,570","37.31","New York Stock Exchange Inc.","65,612,246.70"
"SSNC","US78467J1007","B58YSC6","SS&C TECHNOLOGIES HOLDINGS INC.","0.2291","Equity","Information Technology","$65,570,331","1,072,813","61.12","NASDAQ","65,570,330.56"
"STE","US8591521005","2845113","STERIS CORP.","0.2289","Equity","Health Care","$65,515,308","930,483","70.41","New York Stock Exchange Inc.","65,515,308.03"
"SKX","US8305661055","2428042","SKECHERS USA INC. CL A","0.2273","Equity","Consumer Discretionary","$65,047,754","615,691","105.65","New York Stock Exchange Inc.","65,047,754.15"
"TYL","US9022521051","2909644","TYLER TECHNOLOGIES INC.","0.2261","Equity","Information Technology","$64,708,094","519,869","124.47","New York Stock Exchange Inc.","64,708,094.43"
"AZPN","US0453271035","2051868","ASPEN TECHNOLOGY INC.","0.2243","Equity","Information Technology","$64,189,552","1,449,956","44.27","NASDAQ","64,189,552.12"
"CPHD","US15670R1077","2589143","CEPHEID","0.2241","Equity","Health Care","$64,137,977","1,098,065","58.41","NASDAQ","64,137,976.65"
"DYN","US26817R1086","B6TFK30","DYNEGY INC.","0.2236","Equity","Utilities","$63,998,850","1,935,254","33.07","New York Stock Exchange Inc.","63,998,849.78"
"RLJ","US74965L1017","B3PY1N7","RLJ LODGING TRUST REIT","0.2205","Equity","Financials","$63,103,678","2,061,538","30.61","New York Stock Exchange Inc.","63,103,678.18"
"CUBE","US2296631094","B6SW913","CUBESMART","0.2177","Equity","Financials","$62,298,104","2,552,155","24.41","New York Stock Exchange Inc.","62,298,103.55"
"FAF","US31847R1023","B4NFPK4","FIRST AMERICAN FINANCIAL CORP.","0.2151","Equity","Financials","$61,567,615","1,682,635","36.59","New York Stock Exchange Inc.","61,567,614.65"
"HLS","US4219243098","B1G9B93","HEALTHSOUTH CORP.","0.2141","Equity","Health Care","$61,270,631","1,387,469","44.16","New York Stock Exchange Inc.","61,270,631.04"
"VRNT","US92343X1000","2849193","VERINT SYSTEMS INC.","0.2139","Equity","Information Technology","$61,209,276","941,971","64.98","NASDAQ","61,209,275.58"
"WST","US9553061055","2950482","WEST PHARMACEUTICAL SERVICES INC.","0.2128","Equity","Health Care","$60,916,241","1,113,032","54.73","New York Stock Exchange Inc.","60,916,241.36"
"HEI","US4228061093","2419217","HEICO CORP.","0.2124","Equity","Industrials","$60,793,965","1,047,269","58.05","New York Stock Exchange Inc.","60,793,965.45"
"HIW","US4312841087","2420640","HIGHWOODS PROPERTIES INC.","0.2122","Equity","Financials","$60,733,858","1,419,347","42.79","New York Stock Exchange Inc.","60,733,858.13"
"DYAX","US26746E1038","2621487","DYAX CORP.","0.2121","Equity","Health Care","$60,701,212","2,286,298","26.55","NASDAQ","60,701,211.90"
"PRXL","US6994621075","2671318","PAREXEL INTERNATIONAL CORP.","0.2111","Equity","Health Care","$60,408,368","895,735","67.44","NASDAQ","60,408,368.40"
"MTN","US91879Q1094","2954194","VAIL RESORTS INC.","0.2088","Equity","Consumer Discretionary","$59,771,145","569,249","105.00","New York Stock Exchange Inc.","59,771,145.00"
"CNO","US12621E1038","2657750","CNO FINANCIAL GROUP INC.","0.2075","Equity","Financials","$59,388,353","3,231,140","18.38","New York Stock Exchange Inc.","59,388,353.20"
"PB","US7436061052","2310257","PROSPERITY BANCSHARES INC","0.2063","Equity","Financials","$59,041,920","1,098,250","53.76","New York Stock Exchange Inc.","59,041,920.00"
"BDC","US0774541066","B01WL78","BELDEN INC.","0.2055","Equity","Information Technology","$58,822,621","686,779","85.65","New York Stock Exchange Inc.","58,822,621.35"
"WCG","US94946T1060","B01R258","WELLCARE HEALTH PLANS INC.","0.2049","Equity","Health Care","$58,628,544","690,560","84.90","New York Stock Exchange Inc.","58,628,544.00"
"DAN","US2358252052","B2PFJR3","DANA HOLDING CORP.","0.2048","Equity","Consumer Discretionary","$58,615,872","2,667,996","21.97","New York Stock Exchange Inc.","58,615,872.12"
"OZRK","US0639041062","2085856","BANK OF THE OZARKS INC.","0.2048","Equity","Financials","$58,610,212","1,339,662","43.75","NASDAQ","58,610,212.50"
"TDY","US8793601050","2503477","TELEDYNE TECHNOLOGIES INC.","0.2021","Equity","Industrials","$57,835,374","555,949","104.03","New York Stock Exchange Inc.","57,835,374.47"
"TEN","US8803491054","2512600","TENNECO INC.","0.2000","Equity","Consumer Discretionary","$57,241,494","958,819","59.70","New York Stock Exchange Inc.","57,241,494.30"
"NBIX","US64125C1099","2623911","NEUROCRINE BIOSCIENCES INC.","0.1999","Equity","Health Care","$57,212,461","1,330,213","43.01","NASDAQ","57,212,461.13"
"CAVM","US14964U1088","B3TWGL0","CAVIUM INC","0.1999","Equity","Information Technology","$57,208,040","832,238","68.74","NASDAQ","57,208,040.12"
"MTG","US5528481030","2548616","MGIC INVESTMENT CORP","0.1991","Equity","Financials","$56,993,468","5,331,475","10.69","New York Stock Exchange Inc.","56,993,467.75"
"ESL","US2974251009","2322047","ESTERLINE TECHNOLOGIES CORP.","0.1972","Equity","Industrials","$56,435,514","501,070","112.63","New York Stock Exchange Inc.","56,435,514.10"
"JACK","US4663671091","2344922","JACK IN THE BOX INC.","0.1970","Equity","Consumer Discretionary","$56,366,961","630,644","89.38","NASDAQ","56,366,960.72"
"RCPT","US7562071065","B7ZKF53","RECEPTOS INC","0.1964","Equity","Health Care","$56,222,331","345,622","162.67","NASDAQ","56,222,330.74"
